id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points
1,covtype1,3,51,2596,258,510,221,232,148,6279
2,covtype2,2,56,2590,212,390,220,235,151,6225
3,covtype3,9,139,2804,268,3180,234,238,135,6121
4,covtype4,18,155,2785,242,3090,238,238,122,6211
5,covtype5,2,45,2595,153,391,220,234,150,6172
6,covtype6,6,132,2579,300,67,230,237,140,6031
7,covtype7,7,45,2606,270,633,222,225,138,6256
8,covtype8,4,49,2605,234,573,222,230,144,6228
9,covtype9,9,45,2617,240,666,223,221,133,6244
10,covtype10,10,59,2612,247,636,228,219,124,6230
11,covtype11,4,201,2612,180,735,218,243,161,6222
12,covtype12,11,151,2886,371,5253,234,240,136,4051
13,covtype13,22,134,2742,150,3215,248,224,92,6091
14,covtype14,7,214,2609,150,771,213,247,170,6211
15,covtype15,4,157,2503,67,674,224,240,151,5600
16,covtype16,7,51,2495,42,752,224,225,137,5576
17,covtype17,1,259,2610,120,607,216,239,161,6096
18,covtype18,7,72,2517,85,595,228,227,133,5607
19,covtype19,5,38,2503,85,741,220,228,144,5555
20,covtype20,9,71,2501,60,767,230,223,126,5547
21,covtype21,17,209,2880,216,4986,206,253,179,4323
22,covtype22,23,114,2768,192,3339,252,209,71,5972
23,covtype23,8,54,2511,124,638,225,222,130,5569
24,covtype24,9,22,2507,120,732,215,221,143,5534
25,covtype25,6,135,2492,0,860,229,237,142,5494
26,covtype26,10,163,2489,30,849,230,243,145,5486
27,covtype27,16,148,2962,323,5916,240,236,120,3395
28,covtype28,1,135,2811,212,3670,220,238,154,5643
29,covtype29,24,117,2739,127,3281,253,210,71,6033
30,covtype30,30,122,2703,67,3191,254,201,52,6123
31,covtype31,7,105,2522,120,595,233,231,130,5569
32,covtype32,6,102,2519,124,616,230,233,137,5559
33,covtype33,6,23,2516,150,658,216,227,147,5541
34,covtype34,9,41,2515,162,680,221,220,133,5532
35,covtype35,19,45,2900,242,5199,221,195,100,4115
36,covtype36,28,125,2709,67,3224,253,207,61,6094
37,covtype37,7,92,2511,182,722,231,229,131,5494
38,covtype38,30,98,2749,124,3316,252,183,36,6005
39,covtype39,12,354,2686,0,3167,200,219,157,6155
40,covtype40,3,347,2699,0,2096,213,234,159,6853
41,covtype41,2,346,2570,0,331,215,235,158,5745
42,covtype42,9,71,2533,150,577,230,223,126,5552
43,covtype43,27,330,2703,30,3141,146,197,184,6186
44,covtype44,5,128,2678,95,1660,229,236,141,6546
45,covtype45,8,68,2529,210,666,228,225,130,5484
46,covtype46,7,94,2524,212,684,232,229,130,5474
47,covtype47,6,99,2536,234,659,230,232,136,5475
48,covtype48,6,66,2498,95,900,227,227,135,5357
49,covtype49,7,100,2489,85,810,232,231,131,5334
50,covtype50,30,117,2713,60,3297,254,198,48,6039
51,covtype51,25,323,2739,85,3118,149,205,192,6219
52,covtype52,2,72,2696,30,3271,222,234,149,6071
53,covtype53,14,79,2510,192,891,237,215,106,5325
54,covtype54,7,81,2502,175,912,230,227,129,5316
55,covtype55,24,315,2722,30,3216,148,212,200,6132
56,covtype56,11,74,2500,190,930,233,219,116,5279
57,covtype57,5,68,2486,180,870,225,230,139,5262
58,covtype58,4,11,2489,175,840,216,232,153,5254
59,covtype59,6,42,2489,162,810,221,227,141,5247
60,covtype60,5,75,2490,134,810,227,230,137,5218
61,covtype61,11,107,2952,42,5845,239,226,116,3509
62,covtype62,8,90,2705,134,2023,232,228,129,6615
63,covtype63,7,40,2507,153,930,221,224,138,5221
64,covtype64,14,49,2500,150,870,225,210,116,5205
65,covtype65,10,63,2493,127,840,229,221,124,5197
66,covtype66,7,59,2509,134,900,226,226,134,5184
67,covtype67,6,54,2740,218,2287,224,227,138,6686
68,covtype68,8,80,2640,180,1092,231,225,127,5866
69,covtype69,12,166,2843,242,4434,230,244,144,4956
70,covtype70,14,45,3008,277,6371,223,208,116,3036
71,covtype71,16,114,2893,108,5066,245,223,102,4340
72,covtype72,10,30,2628,240,960,217,218,136,5645
73,covtype73,18,118,2864,201,4567,248,221,93,4849
74,covtype74,28,160,2827,134,3948,235,233,108,5474
75,covtype75,5,326,2529,30,1062,207,234,166,5047
76,covtype76,7,99,2808,382,3107,233,230,130,6341
77,covtype77,26,153,2840,134,4613,241,231,102,4833
78,covtype78,10,79,2795,531,2980,233,223,121,6497
79,covtype79,16,143,2746,67,2440,241,235,119,6597
80,covtype80,26,352,2847,150,3697,166,187,152,5796
81,covtype81,7,42,2537,210,1132,222,224,137,4919
82,covtype82,17,358,2860,175,3705,191,206,151,5800
83,covtype83,26,332,2818,30,4526,151,197,181,4978
84,covtype84,7,18,2801,560,3084,215,226,148,6457
85,covtype85,10,63,2791,418,2942,229,221,124,6606
86,covtype86,11,306,2745,67,2416,190,234,184,6428
87,covtype87,6,102,2514,272,1082,230,233,137,4811
88,covtype88,12,354,2562,67,1057,200,218,156,5031
89,covtype89,12,173,3073,108,6836,227,246,149,2735
90,covtype90,10,71,2978,426,5742,231,221,121,3792
91,covtype91,10,31,2860,295,3644,218,218,135,5904
92,covtype92,11,164,3067,85,6811,230,243,144,2774
93,covtype93,5,72,2804,543,3115,225,231,141,6471
94,covtype94,3,59,2562,0,1116,221,233,148,5091
95,covtype95,9,34,2567,190,1136,219,221,138,4924
96,covtype96,8,45,2998,351,5842,223,222,134,3721
97,covtype97,12,84,2684,150,1677,237,220,113,5693
98,covtype98,11,42,2676,150,1634,222,216,128,5655
99,covtype99,15,102,2863,190,4389,244,219,100,5184
100,covtype100,5,170,2574,170,1180,224,242,153,4910
101,covtype101,6,211,2511,162,1071,216,245,166,4660
102,covtype102,4,32,3067,30,6679,219,230,147,2947
103,covtype103,16,57,2909,134,5502,229,203,102,4084
104,covtype104,14,348,2863,309,3918,193,216,161,5695
105,covtype105,1,333,2567,0,1266,216,237,158,5079
106,covtype106,11,105,3182,408,6000,240,226,115,1184
107,covtype107,12,324,2818,242,4156,189,227,177,5467
108,covtype108,6,332,2752,342,2372,207,233,165,6131
109,covtype109,5,88,2751,400,2322,228,231,137,6088
110,covtype110,7,102,2569,228,1266,232,231,132,4844
111,covtype111,15,111,3195,469,5941,245,222,101,1206
112,covtype112,14,53,2982,240,5756,227,209,112,3880
113,covtype113,6,58,2850,295,4394,225,227,137,5239
114,covtype114,4,76,2586,190,1290,225,232,143,4875
115,covtype115,13,17,2837,330,4241,208,211,138,5428
116,covtype116,6,99,2723,301,2109,230,232,136,5793
117,covtype117,12,124,3057,150,6508,240,231,118,3211
118,covtype118,19,119,2818,30,5213,248,220,92,4497
119,covtype119,33,320,2847,85,4983,120,190,199,4727
120,covtype120,11,112,2606,30,1584,239,228,119,5106
121,covtype121,6,83,2893,551,4011,229,230,135,5755
122,covtype122,20,125,2644,67,1719,249,221,90,5168
123,covtype123,5,37,2613,216,1519,220,229,146,4818
124,covtype124,12,356,2929,0,5757,201,219,155,4017
125,covtype125,12,307,2767,30,2796,187,233,186,6192
126,covtype126,13,49,2991,85,6199,225,211,117,3613
127,covtype127,18,56,2939,95,5563,229,200,98,4224
128,covtype128,7,119,3119,162,6660,233,234,133,2556
129,covtype129,12,346,2942,30,5918,197,221,162,3900
130,covtype130,7,12,2886,570,4295,213,226,150,5518
131,covtype131,13,344,2775,42,2854,194,219,164,6177
132,covtype132,9,79,2490,240,878,232,224,124,4184
133,covtype133,18,228,3106,658,5984,191,254,196,1655
134,covtype134,24,284,2831,60,5208,145,232,222,4611
135,covtype135,8,112,2837,272,3649,235,231,128,6221
136,covtype136,23,299,2890,180,5104,150,224,212,4734
137,covtype137,5,135,2824,218,3583,227,238,144,6316
138,covtype138,3,135,2728,242,2250,224,238,150,5515
139,covtype139,16,88,2962,190,6095,242,212,95,3811
140,covtype140,11,220,3142,424,6216,207,251,179,1989
141,covtype141,5,34,2536,242,1242,219,228,146,4201
142,covtype142,6,95,3168,30,4884,229,231,136,1239
143,covtype143,24,289,2926,210,5126,145,228,220,4814
144,covtype144,6,21,2893,295,4106,216,227,148,5865
145,covtype145,11,20,2687,150,1986,212,217,140,4936
146,covtype146,17,211,3109,424,6089,204,254,181,2017
147,covtype147,20,200,3119,60,6297,208,253,172,2377
148,covtype148,10,349,2916,488,4472,202,223,160,5502
149,covtype149,3,18,2795,218,3042,217,233,153,6073
150,covtype150,14,58,2555,285,1231,230,209,109,4159
151,covtype151,13,42,2499,497,953,222,212,123,3950
152,covtype152,11,173,3027,335,5678,227,245,149,1900
153,covtype153,15,160,3096,85,6156,234,242,135,2310
154,covtype154,13,105,2916,268,5618,242,223,108,4417
155,covtype155,12,42,2591,350,1398,222,213,125,4224
156,covtype156,16,328,3185,127,4763,178,219,180,1392
157,covtype157,10,221,3021,324,5675,208,250,177,1937
158,covtype158,4,257,3083,510,6363,209,242,171,2873
159,covtype159,33,276,2860,60,5292,115,226,240,4759
160,covtype160,15,196,3008,228,5535,215,251,166,1924
161,covtype161,14,189,3034,384,5754,220,250,160,2012
162,covtype162,16,130,2873,67,4030,244,230,110,6091
163,covtype163,13,49,3182,319,4767,225,211,118,1513
164,covtype164,12,102,2998,384,6026,239,225,114,4121
165,covtype165,20,357,2658,300,1597,184,199,149,4286
166,covtype166,7,15,3175,366,4816,214,226,149,1584
167,covtype167,7,8,2952,488,4953,212,227,152,5192
168,covtype168,12,95,2622,484,1329,239,222,112,4086
169,covtype169,21,288,2955,247,5224,156,233,215,4968
170,covtype170,9,66,2837,201,3655,229,221,124,6341
171,covtype171,3,45,3182,458,4723,220,232,149,1661
172,covtype172,3,129,3077,618,6296,225,237,147,3261
173,covtype173,4,320,2755,30,2890,209,236,165,5468
174,covtype174,11,28,3047,600,6414,216,215,134,3540
175,covtype175,12,86,2880,30,4369,237,221,113,5906
176,covtype176,3,292,3221,424,4401,212,238,165,1710
177,covtype177,10,115,3182,553,4605,237,231,124,1768
178,covtype178,24,29,3064,150,5051,204,182,104,2148
179,covtype179,15,332,2827,42,3599,185,221,174,6067
180,covtype180,5,107,2518,360,553,229,234,139,3522
181,covtype181,4,180,3050,277,5782,221,242,156,2721
182,covtype182,12,356,3107,283,4855,201,219,155,2069
183,covtype183,15,173,2995,268,6312,228,246,146,4135
184,covtype184,4,164,2721,67,1747,224,241,152,4191
185,covtype185,7,116,3182,579,4425,233,233,133,1854
186,covtype186,11,132,2724,60,2720,238,234,124,4875
187,covtype187,9,90,2515,313,511,233,227,125,3451
188,covtype188,22,46,3017,212,5118,221,188,92,2352
189,covtype189,4,256,3077,618,6230,210,242,170,3734
190,covtype190,8,338,2929,190,4393,202,228,165,6106
191,covtype191,12,127,2735,67,2806,240,232,120,4924
192,covtype192,20,319,2893,150,5825,164,217,192,4667
193,covtype193,4,45,3231,648,4173,221,231,147,1921
194,covtype194,10,89,2560,218,731,235,224,120,3505
195,covtype195,15,43,3162,484,4657,221,205,115,2188
196,covtype196,14,188,2982,120,5501,220,250,160,2750
197,covtype197,5,66,2731,0,2826,225,230,141,4873
198,covtype198,11,50,3172,759,4287,225,215,123,2037
199,covtype199,21,138,2916,127,6349,247,227,98,4206
200,covtype200,17,63,2890,153,3670,233,202,96,5757
201,covtype201,10,45,2704,323,1323,223,219,130,3734
202,covtype202,18,23,3198,604,4545,207,200,124,2285
203,covtype203,5,214,2985,342,5495,215,245,166,3195
204,covtype204,21,323,3011,443,5838,164,214,188,4910
205,covtype205,18,312,3024,474,5785,169,224,194,4961
206,covtype206,16,56,3244,618,3865,229,204,104,2225
207,covtype207,25,36,2972,30,5113,209,176,90,2816
208,covtype208,13,167,2985,458,5571,230,244,144,3519
209,covtype209,17,23,2539,90,488,207,201,125,3115
210,covtype210,8,260,3001,720,5790,200,245,183,3903
211,covtype211,10,51,2952,150,5123,225,218,126,2960
212,covtype212,13,211,2962,255,5365,209,252,177,3337
213,covtype213,4,45,2727,124,2285,221,231,147,4245
214,covtype214,17,167,3004,603,5798,232,244,137,4031
215,covtype215,8,22,2886,285,3849,215,222,144,5557
216,covtype216,8,344,3024,600,5201,203,227,163,5764
217,covtype217,14,187,3034,335,6084,221,249,158,4921
218,covtype218,13,279,2903,190,4179,184,241,197,5904
219,covtype219,4,245,2926,30,5180,212,243,169,3331
220,covtype220,16,200,2942,180,5276,212,252,170,3470
221,covtype221,13,54,2991,495,4849,227,211,115,6214
222,covtype222,9,116,2742,150,2475,236,231,126,4314
223,covtype223,18,356,2606,67,911,188,205,152,3174
224,covtype224,5,326,3244,750,3730,207,234,166,2460
225,covtype225,14,27,3237,997,4002,213,210,130,2506
226,covtype226,24,359,2616,42,977,176,187,142,3186
227,covtype227,11,16,2913,457,3974,211,217,142,5568
228,covtype228,7,48,2813,201,3018,223,225,137,4729
229,covtype229,1,149,2530,319,234,221,238,154,2726
230,covtype230,7,45,3260,503,3558,222,225,138,2531
231,covtype231,3,90,3047,870,5484,224,234,146,5635
232,covtype232,20,60,2955,201,4934,231,195,88,3248
233,covtype233,13,77,2893,85,6012,236,215,107,4682
234,covtype234,24,38,2965,247,4883,212,181,92,3315
235,covtype235,15,230,3037,570,5985,196,252,191,5238
