id,Label,Slope,Aspect,Elevation,Horizontal_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm
1,covtype1,3,51,2596,258,510,221,232,148
2,covtype2,2,56,2590,212,390,220,235,151
3,covtype3,9,139,2804,268,3180,234,238,135
4,covtype4,18,155,2785,242,3090,238,238,122
5,covtype5,2,45,2595,153,391,220,234,150
6,covtype6,6,132,2579,300,67,230,237,140
7,covtype7,7,45,2606,270,633,222,225,138
8,covtype8,4,49,2605,234,573,222,230,144
9,covtype9,9,45,2617,240,666,223,221,133
10,covtype10,10,59,2612,247,636,228,219,124
11,covtype11,4,201,2612,180,735,218,243,161
12,covtype12,11,151,2886,371,5253,234,240,136
13,covtype13,22,134,2742,150,3215,248,224,92
14,covtype14,7,214,2609,150,771,213,247,170
15,covtype15,4,157,2503,67,674,224,240,151
16,covtype16,7,51,2495,42,752,224,225,137
17,covtype17,1,259,2610,120,607,216,239,161
18,covtype18,7,72,2517,85,595,228,227,133
19,covtype19,5,38,2503,85,741,220,228,144
20,covtype20,9,71,2501,60,767,230,223,126
21,covtype21,17,209,2880,216,4986,206,253,179
22,covtype22,23,114,2768,192,3339,252,209,71
23,covtype23,8,54,2511,124,638,225,222,130
24,covtype24,9,22,2507,120,732,215,221,143
25,covtype25,6,135,2492,0,860,229,237,142
26,covtype26,10,163,2489,30,849,230,243,145
27,covtype27,16,148,2962,323,5916,240,236,120
28,covtype28,1,135,2811,212,3670,220,238,154
29,covtype29,24,117,2739,127,3281,253,210,71
30,covtype30,30,122,2703,67,3191,254,201,52
31,covtype31,7,105,2522,120,595,233,231,130
32,covtype32,6,102,2519,124,616,230,233,137
33,covtype33,6,23,2516,150,658,216,227,147
34,covtype34,9,41,2515,162,680,221,220,133
35,covtype35,19,45,2900,242,5199,221,195,100
36,covtype36,28,125,2709,67,3224,253,207,61
37,covtype37,7,92,2511,182,722,231,229,131
38,covtype38,30,98,2749,124,3316,252,183,36
39,covtype39,12,354,2686,0,3167,200,219,157
40,covtype40,3,347,2699,0,2096,213,234,159
41,covtype41,2,346,2570,0,331,215,235,158
42,covtype42,9,71,2533,150,577,230,223,126
43,covtype43,27,330,2703,30,3141,146,197,184
44,covtype44,5,128,2678,95,1660,229,236,141
45,covtype45,8,68,2529,210,666,228,225,130
46,covtype46,7,94,2524,212,684,232,229,130
47,covtype47,6,99,2536,234,659,230,232,136
48,covtype48,6,66,2498,95,900,227,227,135
49,covtype49,7,100,2489,85,810,232,231,131
50,covtype50,30,117,2713,60,3297,254,198,48
51,covtype51,25,323,2739,85,3118,149,205,192
52,covtype52,2,72,2696,30,3271,222,234,149
53,covtype53,14,79,2510,192,891,237,215,106
54,covtype54,7,81,2502,175,912,230,227,129
55,covtype55,24,315,2722,30,3216,148,212,200
56,covtype56,11,74,2500,190,930,233,219,116
57,covtype57,5,68,2486,180,870,225,230,139
58,covtype58,4,11,2489,175,840,216,232,153
59,covtype59,6,42,2489,162,810,221,227,141
60,covtype60,5,75,2490,134,810,227,230,137
61,covtype61,11,107,2952,42,5845,239,226,116
62,covtype62,8,90,2705,134,2023,232,228,129
63,covtype63,7,40,2507,153,930,221,224,138
64,covtype64,14,49,2500,150,870,225,210,116
65,covtype65,10,63,2493,127,840,229,221,124
66,covtype66,7,59,2509,134,900,226,226,134
67,covtype67,6,54,2740,218,2287,224,227,138
68,covtype68,8,80,2640,180,1092,231,225,127
69,covtype69,12,166,2843,242,4434,230,244,144
70,covtype70,14,45,3008,277,6371,223,208,116
71,covtype71,16,114,2893,108,5066,245,223,102
72,covtype72,10,30,2628,240,960,217,218,136
73,covtype73,18,118,2864,201,4567,248,221,93
74,covtype74,28,160,2827,134,3948,235,233,108
75,covtype75,5,326,2529,30,1062,207,234,166
76,covtype76,7,99,2808,382,3107,233,230,130
77,covtype77,26,153,2840,134,4613,241,231,102
78,covtype78,10,79,2795,531,2980,233,223,121
79,covtype79,16,143,2746,67,2440,241,235,119
80,covtype80,26,352,2847,150,3697,166,187,152
81,covtype81,7,42,2537,210,1132,222,224,137
82,covtype82,17,358,2860,175,3705,191,206,151
83,covtype83,26,332,2818,30,4526,151,197,181
84,covtype84,7,18,2801,560,3084,215,226,148
85,covtype85,10,63,2791,418,2942,229,221,124
86,covtype86,11,306,2745,67,2416,190,234,184
87,covtype87,6,102,2514,272,1082,230,233,137
88,covtype88,12,354,2562,67,1057,200,218,156
89,covtype89,12,173,3073,108,6836,227,246,149
90,covtype90,10,71,2978,426,5742,231,221,121
91,covtype91,10,31,2860,295,3644,218,218,135
92,covtype92,11,164,3067,85,6811,230,243,144
93,covtype93,5,72,2804,543,3115,225,231,141
94,covtype94,3,59,2562,0,1116,221,233,148
95,covtype95,9,34,2567,190,1136,219,221,138
96,covtype96,8,45,2998,351,5842,223,222,134
97,covtype97,12,84,2684,150,1677,237,220,113
98,covtype98,11,42,2676,150,1634,222,216,128
99,covtype99,15,102,2863,190,4389,244,219,100
100,covtype100,5,170,2574,170,1180,224,242,153
101,covtype101,6,211,2511,162,1071,216,245,166
102,covtype102,4,32,3067,30,6679,219,230,147
103,covtype103,16,57,2909,134,5502,229,203,102
104,covtype104,14,348,2863,309,3918,193,216,161
105,covtype105,1,333,2567,0,1266,216,237,158
106,covtype106,11,105,3182,408,6000,240,226,115
107,covtype107,12,324,2818,242,4156,189,227,177
108,covtype108,6,332,2752,342,2372,207,233,165
109,covtype109,5,88,2751,400,2322,228,231,137
110,covtype110,7,102,2569,228,1266,232,231,132
111,covtype111,15,111,3195,469,5941,245,222,101
112,covtype112,14,53,2982,240,5756,227,209,112
113,covtype113,6,58,2850,295,4394,225,227,137
114,covtype114,4,76,2586,190,1290,225,232,143
115,covtype115,13,17,2837,330,4241,208,211,138
116,covtype116,6,99,2723,301,2109,230,232,136
117,covtype117,12,124,3057,150,6508,240,231,118
118,covtype118,19,119,2818,30,5213,248,220,92
119,covtype119,33,320,2847,85,4983,120,190,199
120,covtype120,11,112,2606,30,1584,239,228,119
121,covtype121,6,83,2893,551,4011,229,230,135
122,covtype122,20,125,2644,67,1719,249,221,90
123,covtype123,5,37,2613,216,1519,220,229,146
124,covtype124,12,356,2929,0,5757,201,219,155
125,covtype125,12,307,2767,30,2796,187,233,186
126,covtype126,13,49,2991,85,6199,225,211,117
127,covtype127,18,56,2939,95,5563,229,200,98
128,covtype128,7,119,3119,162,6660,233,234,133
129,covtype129,12,346,2942,30,5918,197,221,162
130,covtype130,7,12,2886,570,4295,213,226,150
131,covtype131,13,344,2775,42,2854,194,219,164
132,covtype132,9,79,2490,240,878,232,224,124
133,covtype133,18,228,3106,658,5984,191,254,196
134,covtype134,24,284,2831,60,5208,145,232,222
135,covtype135,8,112,2837,272,3649,235,231,128
136,covtype136,23,299,2890,180,5104,150,224,212
137,covtype137,5,135,2824,218,3583,227,238,144
138,covtype138,3,135,2728,242,2250,224,238,150
139,covtype139,16,88,2962,190,6095,242,212,95
140,covtype140,11,220,3142,424,6216,207,251,179
141,covtype141,5,34,2536,242,1242,219,228,146
142,covtype142,6,95,3168,30,4884,229,231,136
143,covtype143,24,289,2926,210,5126,145,228,220
