id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,190,274,54,60,143,52,58
2,product-2,153,169,63,64,133,67,70
3,product-3,86,90,181,184,180,180,15
4,product-4,71,105,75,127,127,129,123
5,product-5,165,181,131,72,73,72,67
6,product-6,57,115,166,31,35,38,29
7,product-7,87,131,86,84,88,112,83
8,product-8,89,92,112,86,113,109,118
9,product-9,85,112,97,91,108,89,88
10,product-10,111,187,7,8,197,0,4
11,product-11,181,272,2,2,4,200,3
12,product-12,55,132,140,141,64,136,134
13,product-13,160,220,184,12,183,185,187
14,product-14,93,132,113,83,115,119,116
15,product-15,13,70,190,9,188,187,187
16,product-16,187,224,87,96,96,88,108
17,product-17,46,66,0,0,0,0,224
18,product-18,116,191,99,108,97,107,106
19,product-19,208,300,0,285,0,0,0
20,product-20,122,190,31,33,30,165,40
21,product-21,134,140,133,133,135,131,67
22,product-22,74,75,176,25,29,22,25
23,product-23,114,179,128,70,75,73,72
24,product-24,134,141,118,79,86,82,82
25,product-25,153,249,164,33,163,166,171
26,product-26,37,104,96,96,101,97,101
27,product-27,188,261,33,33,167,28,30
28,product-28,179,234,38,42,34,163,34
29,product-29,131,207,193,195,191,8,193
30,product-30,149,220,76,124,121,120,121
31,product-31,24,65,50,42,154,49,43
32,product-32,172,266,223,0,0,0,0
33,product-33,180,225,2,7,3,1,196
34,product-34,200,288,206,0,0,0,0
35,product-35,179,227,102,106,106,99,97
36,product-36,42,87,11,10,10,6,189
37,product-37,120,182,0,4,199,0,6
38,product-38,163,217,0,0,202,1,0
39,product-39,72,146,59,146,58,58,51
40,product-40,158,205,35,34,162,39,41
41,product-41,127,204,9,195,9,6,8
42,product-42,57,111,252,0,0,0,0
43,product-43,28,50,65,63,68,134,62
44,product-44,51,79,39,36,160,43,41
45,product-45,229,239,0,3,195,6,8
46,product-46,145,172,60,59,142,53,62
47,product-47,162,164,119,119,116,81,122
48,product-48,52,121,0,4,4,0,201
49,product-49,111,121,117,112,119,85,112
50,product-50,181,213,160,162,38,164,157
51,product-51,147,191,98,94,103,94,100
52,product-52,156,178,115,115,80,123,125
53,product-53,82,153,109,119,110,86,111
54,product-54,89,103,0,220,0,0,0
55,product-55,216,246,185,19,19,19,13
56,product-56,55,63,184,188,190,184,15
