id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,145,181,0,0,210,0
2,customer-2,122,187,0,223,0,0
3,customer-3,73,138,0,221,0,0
4,customer-4,12,38,212,0,0,0
5,customer-5,132,193,102,100,103,94
6,customer-6,173,198,152,148,52,149
7,customer-7,62,94,69,128,134,129
8,customer-8,164,218,167,166,35,161
9,customer-9,96,187,168,35,32,35
10,customer-10,179,181,175,182,185,20
11,customer-11,127,216,80,117,81,84
12,customer-12,154,163,51,151,148,147
13,customer-13,94,169,18,185,177,184
14,customer-14,159,240,234,0,0,0
15,customer-15,187,244,36,31,165,40
16,customer-16,192,229,11,2,193,9
17,customer-17,79,85,27,24,22,174
18,customer-18,158,227,0,201,0,1
19,customer-19,234,301,49,52,152,43
20,customer-20,257,297,176,25,176,180
21,customer-21,201,209,31,171,34,31
22,customer-22,176,244,141,58,58,61
23,customer-23,255,284,189,192,190,7
24,customer-24,73,93,185,183,183,12
25,customer-25,93,101,65,140,60,63
26,customer-26,146,239,37,38,33,166
27,customer-27,53,122,186,190,9,195
28,customer-28,96,96,131,131,69,132
29,customer-29,93,115,0,224,0,0
30,customer-30,163,169,88,117,84,83
31,customer-31,72,150,139,59,139,137
32,customer-32,146,147,72,123,75,80
33,customer-33,185,257,107,105,108,92
34,customer-34,162,249,21,19,182,15
35,customer-35,148,233,168,28,28,34
36,customer-36,178,266,60,139,62,56
37,customer-37,216,273,43,44,156,48
38,customer-38,58,121,103,94,108,109
39,customer-39,125,175,177,28,171,174
40,customer-40,48,69,91,90,87,114
41,customer-41,206,282,78,74,125,77
42,customer-42,155,215,6,0,197,0
43,customer-43,27,84,0,249,0,0
44,customer-44,111,202,130,137,68,127
45,customer-45,132,174,242,0,0,0
46,customer-46,126,139,70,135,126,133
47,customer-47,28,93,32,172,166,173
48,customer-48,118,130,0,206,0,0
49,customer-49,110,124,158,152,157,46
50,customer-50,221,276,115,85,119,118
51,customer-51,66,106,0,231,0,0
52,customer-52,149,182,175,24,25,20
53,customer-53,218,283,156,162,160,41
54,customer-54,161,210,135,66,65,67
55,customer-55,80,136,12,14,9,186
56,customer-56,82,116,14,13,11,184
57,customer-57,221,278,84,113,118,113
