id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,182,197,5,196,6,3
2,customer-2,66,144,124,125,124,75
3,customer-3,180,225,104,101,96,98
4,customer-4,95,97,181,21,182,182
5,customer-5,118,183,25,25,178,22
6,customer-6,210,285,17,18,19,178
7,customer-7,104,114,51,49,153,44
8,customer-8,32,70,159,46,149,154
9,customer-9,158,181,96,99,99,109
10,customer-10,186,195,35,29,35,170
11,customer-11,120,210,68,77,72,127
12,customer-12,215,253,0,207,0,0
13,customer-13,109,126,81,83,83,116
14,customer-14,135,167,17,183,16,22
15,customer-15,107,111,82,77,78,119
16,customer-16,147,209,0,0,238,0
17,customer-17,80,180,93,85,110,95
18,customer-18,110,205,37,166,36,36
19,customer-19,196,287,132,73,125,126
20,customer-20,154,229,63,62,61,136
21,customer-21,35,84,24,26,171,26
22,customer-22,189,203,151,44,47,48
23,customer-23,102,160,49,155,153,148
24,customer-24,47,118,174,26,29,28
25,customer-25,56,128,102,95,98,95
26,customer-26,42,72,0,205,0,0
27,customer-27,42,133,0,0,0,203
28,customer-28,98,173,162,39,164,162
29,customer-29,147,191,35,31,36,165
30,customer-30,183,201,120,125,79,119
31,customer-31,142,174,80,79,83,121
32,customer-32,84,152,177,26,20,23
33,customer-33,24,113,144,58,51,52
34,customer-34,221,254,91,100,93,105
35,customer-35,183,211,196,8,2,0
36,customer-36,10,80,130,137,131,67
37,customer-37,75,150,137,61,65,62
38,customer-38,37,47,140,143,55,150
39,customer-39,212,307,104,104,107,98
40,customer-40,55,104,180,188,15,187
41,customer-41,140,144,98,102,107,106
42,customer-42,180,221,51,54,145,55
43,customer-43,125,189,111,93,107,103
44,customer-44,88,107,109,104,102,95
45,customer-45,201,262,230,0,0,0
46,customer-46,130,159,55,145,56,50
47,customer-47,44,119,182,17,17,20
48,customer-48,243,264,170,25,26,30
49,customer-49,99,102,52,53,149,49
50,customer-50,178,255,0,0,268,0
51,customer-51,77,86,149,53,50,49
52,customer-52,130,183,152,47,153,150
53,customer-53,107,141,106,100,97,105
54,customer-54,201,255,61,144,54,51
55,customer-55,142,160,147,140,55,142
56,customer-56,161,227,92,94,100,103
57,customer-57,83,112,108,108,109,88
58,customer-58,161,161,158,38,40,45
59,customer-59,206,235,86,86,109,95
60,customer-60,120,136,127,132,71,129
61,customer-61,203,229,0,8,196,0
62,customer-62,185,281,141,56,61,62
63,customer-63,188,206,68,137,137,137
64,customer-64,198,259,90,83,87,112
65,customer-65,38,75,80,83,80,120
66,customer-66,21,109,123,75,125,130
67,customer-67,101,151,145,58,145,143
68,customer-68,86,154,72,65,132,69
69,customer-69,220,267,15,17,187,12
70,customer-70,109,123,34,41,162,43
71,customer-71,82,161,80,122,120,122
72,customer-72,112,126,109,112,112,91
73,customer-73,135,180,176,22,174,178
74,customer-74,131,161,117,119,78,125
75,customer-75,128,153,108,115,90,112
76,customer-76,258,312,163,38,33,35
77,customer-77,176,186,168,166,37,160
78,customer-78,83,120,74,74,72,129
79,customer-79,80,94,52,49,147,49
80,customer-80,202,276,65,138,65,59
81,customer-81,55,111,65,69,131,73
82,customer-82,75,96,30,31,36,169
83,customer-83,32,58,24,171,29,26
84,customer-84,10,66,0,0,211,0
85,customer-85,187,197,179,175,172,23
86,customer-86,26,81,161,163,159,37
87,customer-87,99,104,0,0,212,0
88,customer-88,124,178,39,164,32,38
89,customer-89,215,225,17,183,182,186
90,customer-90,139,142,186,14,14,19
91,customer-91,26,51,161,158,42,156
92,customer-92,197,223,190,6,14,10
93,customer-93,168,225,169,176,28,169
94,customer-94,159,240,77,122,118,120
95,customer-95,131,178,161,39,165,158
96,customer-96,219,315,89,111,85,92
97,customer-97,43,131,172,30,168,173
98,customer-98,142,171,15,12,189,12
99,customer-99,200,206,70,69,62,133
100,customer-100,83,153,182,180,175,20
101,customer-101,132,197,22,173,32,23
102,customer-102,29,58,0,227,0,0
103,customer-103,55,134,45,47,45,158
104,customer-104,91,154,62,67,135,61
105,customer-105,80,156,106,99,98,98
106,customer-106,148,193,105,96,108,99
107,customer-107,197,279,88,93,108,91
108,customer-108,72,114,230,0,0,0
109,customer-109,97,160,0,0,0,219
110,customer-110,103,109,191,183,189,12
111,customer-111,211,247,31,28,170,26
112,customer-112,125,188,0,0,0,210
113,customer-113,209,269,104,91,107,111
114,customer-114,123,144,104,112,103,93
115,customer-115,203,243,134,132,128,70
116,customer-116,135,204,11,187,193,192
117,customer-117,56,84,0,0,1,202
118,customer-118,210,252,160,162,159,36
119,customer-119,130,198,263,0,0,0
120,customer-120,197,290,75,80,123,77
121,customer-121,177,182,20,184,12,13
122,customer-122,145,236,0,0,0,220
123,customer-123,256,338,268,0,0,0
124,customer-124,163,256,125,125,135,70
125,customer-125,86,113,48,150,150,148
