id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,product-1,113,195,144,60,141,138
2,product-2,32,115,0,0,0,239
3,product-3,142,199,162,41,35,40
4,product-4,155,216,102,103,108,94
5,product-5,89,99,65,137,139,135
6,product-6,126,136,97,102,93,103
7,product-7,163,165,38,164,34,32
8,product-8,100,188,110,112,93,105
9,product-9,137,182,173,31,166,165
10,product-10,108,119,0,0,225,0
11,product-11,160,178,170,176,27,176
12,product-12,193,245,113,105,91,114
13,product-13,113,204,194,11,7,6
14,product-14,93,184,40,160,160,165
15,product-15,60,63,199,0,3,4
16,product-16,57,71,88,117,82,83
17,product-17,123,137,133,69,72,70
18,product-18,241,252,167,33,30,36
19,product-19,95,95,72,133,126,133
20,product-20,133,147,11,14,191,11
21,product-21,220,223,133,141,63,134
22,product-22,94,147,165,158,158,38
23,product-23,217,263,125,128,126,71
24,product-24,202,283,23,173,182,182
25,product-25,123,183,0,0,0,210
26,product-26,75,112,130,132,65,138
27,product-27,63,117,116,86,79,81
28,product-28,151,159,163,37,41,36
29,product-29,226,229,37,41,36,162
30,product-30,166,197,144,55,55,56
31,product-31,35,113,219,0,0,0
32,product-32,68,82,115,115,80,123
33,product-33,148,205,141,142,57,140
34,product-34,76,110,0,0,0,214
35,product-35,84,101,183,22,176,181
36,product-36,20,109,64,133,70,70
37,product-37,177,236,170,25,30,26
38,product-38,170,238,59,138,139,145
39,product-39,182,254,114,122,82,113
40,product-40,40,41,47,158,157,154
41,product-41,183,200,22,18,27,177
42,product-42,113,167,74,76,76,126
43,product-43,152,176,135,60,60,63
44,product-44,39,112,31,32,164,39
45,product-45,68,140,32,39,166,31
46,product-46,192,199,0,0,247,0
47,product-47,152,228,55,53,53,143
48,product-48,198,198,122,83,82,82
49,product-49,90,97,0,207,0,0
50,product-50,26,72,111,92,110,104
51,product-51,121,154,65,137,139,132
52,product-52,146,173,39,165,35,35
53,product-53,30,102,140,137,133,63
54,product-54,199,282,18,19,186,16
55,product-55,49,80,0,0,211,0
56,product-56,98,181,38,161,163,157
57,product-57,177,264,133,133,64,135
58,product-58,159,162,75,80,123,76
59,product-59,264,271,82,82,87,115
60,product-60,137,189,58,139,65,63
61,product-61,245,315,139,59,60,66
62,product-62,57,83,146,55,149,141
63,product-63,150,191,93,96,91,109
64,product-64,127,174,142,141,57,148
65,product-65,129,154,72,130,123,132
66,product-66,101,123,164,37,166,164
67,product-67,87,180,162,154,42,163
68,product-68,125,144,88,89,94,109
69,product-69,89,162,118,79,77,79
70,product-70,80,113,0,215,0,0
71,product-71,55,150,161,42,163,158
72,product-72,56,69,163,39,41,32
