id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,42,131,73,170,260,212,170
2,product-2,193,196,88,232,200,83,35
3,product-3,81,102,146,57,201,79,196
4,product-4,178,183,184,119,92,116,100
5,product-5,193,286,200,82,169,159,235
6,product-6,150,158,215,191,151,154,103
7,product-7,146,177,154,194,204,205,133
8,product-8,31,47,8,114,198,70,128
9,product-9,200,225,150,62,64,113,69
10,product-10,121,185,200,280,173,185,48
11,product-11,185,265,213,77,124,178,57
12,product-12,142,150,41,199,176,28,137
13,product-13,50,75,255,15,49,180,139
14,product-14,74,114,15,89,57,171,51
15,product-15,48,53,70,110,7,60,39
16,product-16,98,98,33,128,75,177,87
17,product-17,152,167,176,182,80,153,32
18,product-18,156,183,74,22,195,128,43
19,product-19,44,131,214,23,118,96,116
20,product-20,190,275,167,132,123,116,220
21,product-21,208,210,22,75,124,211,189
22,product-22,124,144,151,98,41,53,64
23,product-23,24,50,73,169,189,27,15
24,product-24,180,183,135,167,29,232,150
25,product-25,29,67,141,24,154,72,146
26,product-26,216,235,200,55,166,213,92
27,product-27,37,69,151,42,155,64,109
28,product-28,223,297,226,41,156,214,195
29,product-29,147,224,42,220,99,54,79
30,product-30,162,220,21,162,65,155,83
31,product-31,141,160,36,233,188,146,65
32,product-32,158,164,65,64,157,194,232
33,product-33,166,198,141,146,87,104,191
34,product-34,65,111,36,73,103,178,96
35,product-35,54,79,211,160,143,146,22
36,product-36,11,43,108,137,68,82,231
37,product-37,189,262,189,180,153,118,118
38,product-38,173,215,159,45,88,56,224
39,product-39,99,128,49,146,67,89,228
40,product-40,186,268,53,76,60,103,63
41,product-41,200,209,74,128,70,160,76
42,product-42,145,227,23,218,199,50,132
43,product-43,203,237,120,170,98,189,218
44,product-44,62,73,139,154,192,233,89
45,product-45,105,120,10,148,169,139,88
46,product-46,184,261,198,107,120,120,83
47,product-47,152,177,97,103,35,185,29
48,product-48,64,70,192,116,276,185,205
49,product-49,53,141,38,143,140,112,37
50,product-50,139,155,147,129,45,78,183
51,product-51,142,201,59,130,203,122,85
52,product-52,143,147,80,131,94,92,176
53,product-53,138,162,40,179,180,95,208
54,product-54,112,187,153,74,66,63,109
55,product-55,154,169,204,56,89,70,104
56,product-56,146,191,191,267,237,51,172
57,product-57,66,80,104,135,140,150,150
58,product-58,29,106,181,95,149,215,33
59,product-59,84,126,79,45,32,98,20
60,product-60,96,160,31,181,71,158,27
61,product-61,145,221,218,131,130,117,216
62,product-62,50,144,216,30,22,76,167
63,product-63,97,153,162,53,113,52,36
64,product-64,256,310,105,207,220,25,115
65,product-65,176,235,189,33,230,25,135
66,product-66,120,200,205,151,211,153,171
67,product-67,138,182,182,80,156,59,158
68,product-68,174,230,127,261,52,36,118
69,product-69,174,216,164,48,113,141,56
70,product-70,111,159,80,41,112,75,77
71,product-71,25,88,195,123,158,200,132
72,product-72,82,169,114,104,132,54,115
73,product-73,174,175,229,207,88,77,198
74,product-74,30,91,22,163,168,57,138
75,product-75,66,103,28,137,4,167,153
76,product-76,110,161,210,121,214,192,158
77,product-77,38,88,152,234,199,27,42
78,product-78,182,218,49,78,132,165,241
79,product-79,156,216,191,83,161,194,157
80,product-80,224,266,66,109,94,130,44
81,product-81,56,98,127,32,80,125,39
82,product-82,76,102,173,83,142,14,214
83,product-83,111,121,183,59,165,129,45
84,product-84,33,82,152,146,136,164,183
85,product-85,80,131,131,129,183,71,217
86,product-86,202,264,97,118,27,28,197
87,product-87,92,180,93,113,94,151,152
88,product-88,183,194,225,82,145,178,143
89,product-89,154,211,88,198,93,190,173
90,product-90,191,214,160,128,84,12,174
91,product-91,193,274,152,184,222,168,113
92,product-92,72,121,169,167,136,90,192
93,product-93,139,190,248,129,181,5,164
94,product-94,85,122,53,121,84,174,126
95,product-95,50,128,145,70,161,196,205
96,product-96,134,213,133,15,164,6,123
97,product-97,114,175,161,183,114,86,20
98,product-98,63,106,60,36,32,102,211
99,product-99,52,129,166,90,30,158,234
100,product-100,179,233,11,54,150,199,77
101,product-101,179,273,230,126,163,200,226
102,product-102,42,114,201,146,230,90,220
103,product-103,166,245,117,88,144,209,57
104,product-104,206,297,169,127,168,79,71
105,product-105,177,212,93,117,195,31,132
106,product-106,98,105,33,115,125,72,197
107,product-107,93,94,192,125,224,175,154
108,product-108,72,79,42,156,155,61,46
109,product-109,6,18,183,67,49,74,85
110,product-110,108,159,134,204,131,148,58
