id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
1,product-1,213,235,96,28,127,234,93,176
2,product-2,143,165,209,130,168,195,27,131
3,product-3,138,170,109,35,21,181,119,151
4,product-4,204,275,59,80,91,195,151,153
5,product-5,120,184,185,66,80,102,124,46
6,product-6,166,193,85,52,98,65,141,60
7,product-7,154,220,138,90,206,139,111,87
8,product-8,85,143,65,49,110,97,139,89
9,product-9,69,100,141,15,102,137,38,93
10,product-10,15,32,135,155,49,112,136,110
11,product-11,250,342,70,213,135,73,103,45
12,product-12,51,102,98,117,53,101,62,162
13,product-13,162,256,280,24,120,226,159,167
14,product-14,46,104,18,72,216,37,147,218
15,product-15,149,179,42,257,198,84,34,151
16,product-16,58,82,144,121,50,65,118,164
17,product-17,177,186,95,107,170,153,93,87
18,product-18,68,149,205,70,60,57,169,195
19,product-19,47,124,214,42,76,89,249,59
20,product-20,182,244,152,35,22,202,106,43
21,product-21,126,215,136,192,20,215,176,89
22,product-22,131,220,84,182,30,47,198,210
23,product-23,231,238,138,217,68,246,159,69
24,product-24,104,123,230,145,257,116,200,156
25,product-25,242,288,105,48,145,191,129,75
26,product-26,85,173,89,150,217,150,218,178
27,product-27,207,235,57,76,42,209,59,204
28,product-28,110,110,190,41,51,90,202,53
29,product-29,188,238,60,140,68,108,140,191
30,product-30,182,183,161,151,201,123,121,35
31,product-31,37,47,126,121,154,80,18,126
32,product-32,167,167,34,118,72,129,68,198
33,product-33,255,294,40,72,171,88,90,182
34,product-34,66,123,51,154,194,69,199,173
35,product-35,51,72,187,62,107,70,109,120
36,product-36,230,262,84,114,200,95,79,13
37,product-37,156,234,224,0,117,81,82,181
38,product-38,132,192,187,199,181,67,131,99
39,product-39,153,206,180,200,97,189,191,116
40,product-40,183,199,91,46,36,25,51,171
41,product-41,55,71,104,28,87,94,140,147
42,product-42,60,127,77,135,126,130,13,198
43,product-43,211,247,80,196,232,144,77,77
44,product-44,104,152,128,26,42,133,248,75
45,product-45,15,84,100,76,76,118,135,100
46,product-46,188,260,136,107,195,150,54,40
47,product-47,176,227,162,26,129,80,41,176
48,product-48,101,190,194,112,76,85,259,27
49,product-49,137,204,141,224,88,97,111,147
50,product-50,126,224,27,141,18,138,75,148
51,product-51,75,128,41,157,141,30,75,75
52,product-52,68,115,81,59,98,134,76,161
53,product-53,103,149,201,125,119,197,192,250
54,product-54,39,131,207,252,53,203,114,192
55,product-55,81,88,167,208,196,46,87,203
56,product-56,156,184,119,24,189,201,205,30
57,product-57,126,128,194,40,233,55,55,163
58,product-58,244,283,145,116,122,180,64,91
59,product-59,207,245,48,210,102,143,77,134
60,product-60,220,232,2,159,37,129,173,64
61,product-61,29,45,234,175,175,83,195,200
62,product-62,232,246,101,179,13,177,121,252
63,product-63,163,212,78,195,174,115,199,111
64,product-64,119,148,14,69,50,45,126,66
65,product-65,71,80,48,20,77,64,190,217
66,product-66,31,41,79,205,78,164,69,82
67,product-67,59,73,226,169,205,120,170,163
68,product-68,21,105,109,147,154,43,115,157
69,product-69,41,44,155,219,71,82,79,207
70,product-70,74,164,95,53,85,46,115,137
71,product-71,111,148,90,113,94,209,28,34
72,product-72,275,324,186,73,218,218,182,138
73,product-73,190,273,162,92,87,7,134,183
74,product-74,147,173,49,168,144,42,61,50
75,product-75,219,285,213,210,64,27,18,7
76,product-76,72,96,85,85,99,70,234,223
77,product-77,98,189,118,155,112,64,15,97
78,product-78,19,47,28,74,199,8,127,111
79,product-79,164,195,185,236,82,32,156,12
80,product-80,124,156,166,105,67,136,127,114
81,product-81,76,113,181,138,154,212,65,36
82,product-82,193,217,243,132,86,225,120,108
83,product-83,78,129,49,165,247,115,55,148
84,product-84,164,204,27,184,18,187,191,196
85,product-85,220,304,56,175,190,45,108,101
86,product-86,60,108,72,35,104,155,193,58
87,product-87,107,163,110,8,82,193,57,158
88,product-88,56,142,184,134,28,42,160,161
89,product-89,112,112,151,215,222,144,143,201
90,product-90,207,233,101,89,186,55,169,26
91,product-91,33,100,69,76,199,210,146,48
92,product-92,51,62,25,41,135,48,143,123
93,product-93,66,85,43,76,128,192,158,89
94,product-94,54,100,154,70,27,8,135,63
95,product-95,58,91,49,94,161,54,214,67
96,product-96,93,150,192,192,124,59,182,174
97,product-97,77,88,124,143,22,174,125,91
98,product-98,115,131,180,121,157,105,97,165
99,product-99,42,71,196,70,129,34,191,52
100,product-100,171,236,161,59,147,175,118,196
101,product-101,192,243,165,92,153,66,85,175
102,product-102,23,85,58,54,131,59,84,144
103,product-103,172,184,182,67,167,19,158,137
104,product-104,53,132,13,16,239,255,133,133
105,product-105,211,211,171,82,100,47,49,85
106,product-106,227,251,22,164,34,34,130,122
107,product-107,90,93,40,176,31,153,127,77
108,product-108,44,56,122,61,106,36,56,136
109,product-109,174,255,86,121,112,178,91,144
110,product-110,179,269,184,109,69,22,50,132
111,product-111,141,161,79,201,105,57,153,150
112,product-112,60,136,189,158,87,74,100,177
113,product-113,180,244,256,44,171,58,186,192
114,product-114,161,238,20,210,38,230,166,103
115,product-115,68,122,133,38,104,77,66,8
116,product-116,76,160,139,175,123,69,206,157
117,product-117,240,300,14,165,79,97,109,160
118,product-118,175,221,205,142,18,149,122,160
119,product-119,128,223,54,106,84,143,104,36
120,product-120,184,231,140,111,160,59,199,86
121,product-121,190,226,170,275,65,130,147,170
122,product-122,166,256,100,71,75,201,136,66
123,product-123,204,229,132,130,149,247,191,50
124,product-124,34,85,184,115,71,143,134,155
125,product-125,81,152,194,183,107,196,191,142
126,product-126,185,200,115,109,127,107,43,219
127,product-127,52,54,87,111,178,101,101,169
128,product-128,90,179,96,120,98,136,88,174
129,product-129,155,219,207,213,54,184,89,132
130,product-130,196,263,236,135,62,236,78,56
131,product-131,223,265,162,70,8,110,36,172
132,product-132,120,198,237,23,109,95,245,123
133,product-133,62,97,43,161,109,115,138,116
134,product-134,130,160,67,19,118,124,160,35
135,product-135,213,298,79,158,46,75,86,200
136,product-136,20,36,155,142,64,63,148,123
137,product-137,55,67,165,200,207,123,163,68
138,product-138,116,198,192,63,121,96,60,43
139,product-139,78,152,194,75,174,40,198,61
140,product-140,146,158,144,78,198,105,136,203
141,product-141,165,181,199,82,247,153,120,123
142,product-142,135,228,137,62,180,114,155,132
143,product-143,152,219,195,131,11,204,61,38
144,product-144,214,273,174,201,50,78,34,63
145,product-145,46,112,118,156,111,99,49,169
146,product-146,188,234,14,45,232,131,38,204
147,product-147,93,159,98,163,171,106,176,59
148,product-148,112,176,198,235,209,175,105,136
149,product-149,85,160,59,198,122,133,117,91
150,product-150,126,220,183,115,157,121,163,195
151,product-151,120,169,204,44,82,64,15,12
152,product-152,99,109,35,121,95,88,206,179
153,product-153,164,242,89,169,251,220,20,230
154,product-154,208,259,179,243,37,184,247,109
155,product-155,130,134,188,52,59,196,38,186
156,product-156,256,349,110,167,135,42,145,139
157,product-157,156,159,83,207,218,97,87,171
158,product-158,51,123,81,92,73,145,66,174
159,product-159,58,143,163,144,74,35,146,228
160,product-160,214,291,187,231,115,183,173,12
161,product-161,172,181,175,125,187,171,220,176
162,product-162,150,156,244,94,63,49,69,221
163,product-163,8,13,121,159,85,217,244,53
164,product-164,172,230,221,133,25,274,107,41
165,product-165,171,180,24,118,226,195,171,214
166,product-166,164,235,169,66,85,148,181,70
