id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
1,customer-1,66,126,10,235,36,75,146,103
2,customer-2,187,229,117,216,187,130,48,99
3,customer-3,195,228,92,137,90,194,113,179
4,customer-4,170,213,119,227,111,188,77,107
5,customer-5,54,117,161,15,30,150,144,180
6,customer-6,159,246,209,63,47,172,196,111
7,customer-7,36,65,156,18,31,51,173,137
8,customer-8,34,46,42,130,68,100,100,40
9,customer-9,119,213,133,153,169,109,55,142
10,customer-10,250,339,180,82,58,101,130,164
11,customer-11,181,196,67,46,63,202,203,203
12,customer-12,189,259,173,220,22,63,203,186
13,customer-13,64,87,39,86,2,174,106,116
14,customer-14,16,66,174,10,35,176,155,60
15,customer-15,192,239,185,140,185,70,32,70
16,customer-16,93,115,28,187,185,61,106,67
17,customer-17,105,126,120,95,151,174,186,183
18,customer-18,182,203,185,125,161,185,104,55
19,customer-19,40,68,169,35,85,62,211,103
20,customer-20,107,158,11,153,52,110,206,113
21,customer-21,151,169,79,110,38,265,108,243
22,customer-22,102,161,184,135,141,40,214,124
23,customer-23,235,245,182,110,154,201,174,131
24,customer-24,15,16,94,73,34,51,71,33
25,customer-25,189,270,45,59,109,168,43,15
26,customer-26,90,127,164,72,196,64,214,95
27,customer-27,82,145,179,174,55,142,178,137
28,customer-28,199,292,128,155,41,81,61,12
29,customer-29,160,186,92,148,76,58,162,208
30,customer-30,150,165,84,181,207,197,12,207
31,customer-31,219,272,27,116,20,39,219,41
32,customer-32,157,199,127,166,132,94,74,205
33,customer-33,36,116,67,95,139,114,84,38
34,customer-34,134,209,184,74,101,62,166,106
35,customer-35,185,252,144,205,251,194,50,83
36,customer-36,60,75,79,126,101,163,56,223
37,customer-37,188,251,115,43,67,63,65,110
38,customer-38,34,115,103,79,97,172,46,108
39,customer-39,178,197,108,100,192,61,229,131
40,customer-40,106,113,196,22,31,46,52,92
41,customer-41,108,158,170,183,122,96,231,60
42,customer-42,60,71,119,49,24,107,164,92
43,customer-43,59,71,85,86,206,154,160,210
44,customer-44,228,257,135,195,34,58,206,162
45,customer-45,73,159,43,180,142,208,130,143
46,customer-46,101,183,93,198,137,81,105,205
47,customer-47,136,220,68,222,183,33,175,74
48,customer-48,104,126,42,151,192,109,106,24
49,customer-49,143,214,214,216,65,80,107,216
50,customer-50,206,262,141,64,182,139,93,117
51,customer-51,177,189,143,48,168,167,31,55
52,customer-52,145,172,217,174,39,99,178,173
53,customer-53,224,243,28,42,99,240,196,109
54,customer-54,176,234,35,172,75,52,110,130
55,customer-55,174,178,115,86,115,62,213,134
56,customer-56,69,160,127,138,89,66,74,195
57,customer-57,145,172,246,161,145,39,109,114
58,customer-58,196,196,142,74,157,179,128,116
59,customer-59,78,163,78,20,217,95,81,166
60,customer-60,168,237,23,115,204,133,193,183
61,customer-61,166,211,58,202,67,42,187,142
62,customer-62,58,132,44,105,107,124,110,155
63,customer-63,93,96,104,141,64,193,141,81
64,customer-64,92,186,43,60,209,51,61,10
65,customer-65,53,71,110,171,264,191,210,42
66,customer-66,39,87,80,102,110,95,204,76
67,customer-67,206,262,219,187,50,96,222,129
68,customer-68,170,247,145,79,105,211,77,110
69,customer-69,117,161,162,197,88,100,160,195
70,customer-70,72,81,13,104,187,30,131,103
71,customer-71,169,255,220,193,178,85,168,101
72,customer-72,74,75,182,42,81,44,178,142
73,customer-73,112,197,145,78,195,36,81,199
74,customer-74,51,130,175,54,207,5,156,196
75,customer-75,206,211,60,119,54,191,170,33
76,customer-76,168,180,210,163,253,66,197,145
77,customer-77,184,248,10,113,107,39,175,168
78,customer-78,45,138,133,207,160,93,114,125
79,customer-79,14,77,126,103,149,113,117,183
80,customer-80,160,236,197,86,143,107,34,76
81,customer-81,91,165,153,54,125,119,44,190
82,customer-82,184,254,125,167,193,37,209,160
83,customer-83,45,128,160,142,45,100,91,3
84,customer-84,33,40,142,204,31,38,81,121
85,customer-85,133,156,70,197,45,161,122,76
86,customer-86,116,196,64,173,178,199,82,63
87,customer-87,201,228,162,62,188,32,209,8
88,customer-88,212,300,99,130,190,135,97,118
89,customer-89,163,189,192,92,232,135,87,202
90,customer-90,142,167,150,92,162,210,74,177
91,customer-91,92,150,123,68,107,93,103,79
92,customer-92,137,203,169,170,44,28,204,183
93,customer-93,65,103,222,122,101,146,67,152
94,customer-94,139,217,49,178,168,107,84,87
95,customer-95,108,199,136,146,127,119,191,166
96,customer-96,10,22,91,133,120,156,200,148
97,customer-97,193,257,139,29,77,190,121,194
98,customer-98,96,167,206,169,187,92,30,24
99,customer-99,169,172,206,165,194,55,44,44
100,customer-100,118,169,97,235,224,135,237,115
101,customer-101,180,205,203,130,226,27,20,165
102,customer-102,90,117,133,192,111,56,139,89
103,customer-103,50,83,56,247,93,52,138,43
104,customer-104,191,262,184,136,126,194,229,116
105,customer-105,26,104,122,60,171,193,124,50
106,customer-106,33,115,16,121,170,214,123,129
107,customer-107,153,196,106,71,48,125,140,89
108,customer-108,188,217,225,203,50,30,56,62
109,customer-109,139,181,200,200,108,32,57,241
110,customer-110,178,267,150,94,179,120,190,141
111,customer-111,124,178,182,156,64,198,25,256
112,customer-112,135,184,87,163,244,127,209,131
113,customer-113,205,241,92,48,20,70,110,28
114,customer-114,31,60,115,47,144,253,70,216
115,customer-115,64,71,192,155,139,166,193,64
116,customer-116,209,209,180,211,126,42,153,95
117,customer-117,141,170,137,32,210,61,52,192
118,customer-118,48,66,120,107,161,205,193,174
119,customer-119,61,88,149,117,207,213,84,97
120,customer-120,90,135,200,269,173,135,23,111
121,customer-121,34,44,102,91,145,190,67,229
122,customer-122,168,242,28,40,120,159,243,107
123,customer-123,230,263,56,58,54,139,81,59
124,customer-124,142,179,51,127,137,63,64,34
125,customer-125,139,202,151,18,85,39,131,12
126,customer-126,130,218,289,69,93,101,41,161
127,customer-127,89,173,17,246,59,140,267,58
128,customer-128,138,206,113,157,144,29,189,127
129,customer-129,126,181,91,208,58,219,178,167
130,customer-130,170,264,216,133,37,103,45,86
131,customer-131,215,220,162,184,106,65,192,112
132,customer-132,78,103,195,150,190,185,118,160
133,customer-133,188,209,267,129,28,128,102,187
134,customer-134,196,198,137,179,166,196,105,73
135,customer-135,116,145,197,154,153,89,184,194
136,customer-136,135,220,61,209,216,203,3,156
137,customer-137,193,236,133,129,24,16,147,42
138,customer-138,110,138,35,237,125,200,16,75
139,customer-139,172,202,169,182,160,219,58,187
140,customer-140,85,151,38,217,83,126,26,74
141,customer-141,82,109,107,21,130,98,210,84
142,customer-142,124,145,144,100,193,119,67,135
143,customer-143,71,78,53,244,191,67,18,115
144,customer-144,133,167,38,160,176,139,176,46
145,customer-145,34,116,178,56,109,157,144,66
146,customer-146,165,176,65,31,60,201,225,127
147,customer-147,207,306,93,121,59,171,40,52
148,customer-148,101,188,66,25,130,165,113,127
149,customer-149,89,141,146,60,131,193,152,156
150,customer-150,47,131,125,184,26,18,149,165
151,customer-151,137,160,210,176,125,154,187,151
152,customer-152,148,228,77,169,114,222,189,118
153,customer-153,47,68,178,93,14,55,42,105
154,customer-154,230,239,244,85,189,52,245,201
155,customer-155,41,120,167,81,139,1,78,162
156,customer-156,144,198,55,241,13,66,87,174
157,customer-157,117,151,57,187,129,82,166,142
158,customer-158,86,97,162,89,165,112,111,138
159,customer-159,252,279,53,79,113,159,166,47
160,customer-160,96,173,109,207,90,123,156,77
161,customer-161,85,134,208,35,177,36,61,87
162,customer-162,97,114,31,199,60,162,149,143
163,customer-163,90,95,88,230,188,161,184,131
164,customer-164,233,261,171,167,243,193,85,154
165,customer-165,142,151,105,105,146,55,55,228
166,customer-166,164,180,179,97,163,105,179,184
167,customer-167,85,107,120,114,143,133,39,181
168,customer-168,208,235,50,7,175,75,156,82
169,customer-169,142,190,250,219,206,145,95,35
170,customer-170,150,170,139,133,40,107,65,176
171,customer-171,49,95,175,126,80,4,167,54
172,customer-172,23,45,135,199,70,11,78,38
173,customer-173,153,202,226,173,173,147,124,109
174,customer-174,149,230,130,254,186,185,75,274
175,customer-175,49,136,30,214,110,49,114,192
176,customer-176,171,264,210,68,68,102,153,33
177,customer-177,122,153,44,32,135,14,38,120
178,customer-178,61,128,212,167,173,110,108,116
179,customer-179,172,240,208,180,178,130,153,19
180,customer-180,133,133,241,211,53,149,68,165
181,customer-181,134,183,188,128,99,61,183,215
182,customer-182,133,133,48,183,212,40,51,11
183,customer-183,124,168,26,207,78,241,134,33
184,customer-184,226,235,137,85,97,203,138,207
185,customer-185,153,189,22,58,55,24,70,46
186,customer-186,134,165,152,65,31,205,189,162
187,customer-187,108,167,166,3,176,142,38,126
188,customer-188,65,74,182,65,210,19,38,75
189,customer-189,59,73,155,126,88,32,150,178
190,customer-190,12,28,108,53,160,140,181,191
191,customer-191,95,166,77,186,113,131,74,66
192,customer-192,179,235,230,275,152,19,122,114
193,customer-193,35,50,154,89,50,75,89,216
194,customer-194,109,109,113,192,176,93,167,2
195,customer-195,7,88,46,152,98,109,196,146
196,customer-196,205,256,164,113,87,128,131,169
197,customer-197,124,152,206,179,158,159,37,219
198,customer-198,174,224,123,130,257,170,109,51
199,customer-199,203,281,41,64,160,94,188,104
200,customer-200,202,295,153,62,126,84,53,159
201,customer-201,220,248,41,48,231,41,56,93
202,customer-202,128,158,187,74,180,195,231,29
203,customer-203,196,242,19,84,108,72,137,149
204,customer-204,142,175,185,205,63,181,169,157
205,customer-205,162,255,74,104,138,115,97,87
206,customer-206,91,123,68,195,132,145,79,45
207,customer-207,199,237,211,168,194,179,199,223
208,customer-208,185,202,185,81,186,220,205,247
209,customer-209,103,165,221,142,166,195,26,104
210,customer-210,160,253,135,232,200,10,222,247
211,customer-211,190,254,164,199,129,159,133,227
212,customer-212,163,232,193,136,97,125,38,167
213,customer-213,156,240,104,114,52,47,198,133
214,customer-214,267,347,159,153,91,148,118,142
215,customer-215,25,69,212,11,94,155,195,65
216,customer-216,72,98,179,205,71,176,147,114
217,customer-217,104,128,92,206,92,54,102,200
218,customer-218,173,261,54,34,211,225,182,197
219,customer-219,77,130,100,221,35,177,225,168
220,customer-220,119,164,120,233,45,104,47,82
221,customer-221,144,229,178,209,91,169,47,93
222,customer-222,73,125,91,97,216,173,190,145
223,customer-223,103,200,175,145,73,236,164,148
224,customer-224,242,286,141,260,156,55,153,115
225,customer-225,112,170,178,98,110,113,199,33
226,customer-226,149,168,191,188,202,81,195,95
227,customer-227,158,202,126,57,100,238,189,75
228,customer-228,41,48,80,131,58,191,136,162
229,customer-229,33,61,36,133,132,161,108,53
230,customer-230,92,144,14,155,154,35,164,161
231,customer-231,94,165,56,115,136,169,90,103
232,customer-232,83,127,229,244,158,34,97,63
233,customer-233,42,118,37,32,199,213,122,138
234,customer-234,94,171,147,252,172,182,154,68
235,customer-235,55,63,187,101,153,176,61,185
236,customer-236,227,249,206,69,144,177,23,187
237,customer-237,155,213,203,118,30,79,94,101
238,customer-238,169,207,27,24,51,203,18,220
239,customer-239,125,146,138,56,120,11,232,109
240,customer-240,221,258,152,153,197,99,21,38
241,customer-241,160,180,119,137,111,134,57,73
242,customer-242,199,238,201,156,73,77,131,73
243,customer-243,53,76,119,60,167,88,113,59
244,customer-244,149,170,273,70,102,77,141,170
245,customer-245,7,86,125,102,35,135,66,194
246,customer-246,212,284,185,83,202,99,37,128
247,customer-247,152,163,85,32,244,59,116,44
248,customer-248,169,249,167,85,149,178,239,170
249,customer-249,149,243,231,100,130,93,105,41
250,customer-250,169,209,204,114,114,61,27,109
251,customer-251,118,133,119,108,114,40,102,118
252,customer-252,188,275,118,132,146,83,202,213
253,customer-253,44,131,39,84,26,146,102,120
254,customer-254,101,198,79,233,50,78,79,108
255,customer-255,36,120,14,206,23,123,110,222
256,customer-256,45,120,67,129,138,94,182,203
257,customer-257,259,304,53,189,97,167,228,171
258,customer-258,176,199,63,86,142,45,126,168
259,customer-259,131,222,158,64,60,172,12,119
260,customer-260,219,247,34,147,142,128,99,147
261,customer-261,54,57,91,130,6,240,157,171
262,customer-262,74,158,224,177,46,191,131,45
263,customer-263,132,140,197,129,279,184,25,207
264,customer-264,129,140,96,126,85,191,177,149
265,customer-265,141,186,75,195,174,103,128,203
266,customer-266,24,112,135,71,79,196,234,73
267,customer-267,107,119,157,192,88,131,33,111
268,customer-268,30,127,251,208,183,203,195,17
269,customer-269,126,131,134,26,126,74,211,166
270,customer-270,189,247,64,118,189,112,240,78
271,customer-271,25,76,137,143,188,141,226,174
272,customer-272,88,157,239,126,92,37,56,16
273,customer-273,107,154,114,179,54,91,135,7
274,customer-274,174,255,137,95,112,145,69,59
275,customer-275,3,56,60,178,119,225,99,33
276,customer-276,161,203,169,10,148,174,92,114
277,customer-277,222,279,110,10,16,72,113,94
278,customer-278,263,307,109,199,61,101,177,220
279,customer-279,80,101,221,26,29,125,188,70
280,customer-280,169,237,152,205,72,204,176,47
281,customer-281,72,159,123,161,66,120,139,171
282,customer-282,92,116,43,68,220,153,189,140
283,customer-283,215,304,161,133,54,194,48,129
284,customer-284,209,231,166,85,172,199,171,206
285,customer-285,24,43,86,93,143,42,225,224
