id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5
1,product-1,240,337,221,224,234,179,145,89
2,product-2,150,201,181,80,45,54,122,205
3,product-3,85,113,207,76,91,281,157,202
4,product-4,159,164,78,218,79,61,185,209
5,product-5,131,167,191,208,70,115,196,154
6,product-6,237,238,17,176,52,185,161,41
7,product-7,124,206,131,189,20,5,105,114
8,product-8,139,171,95,133,88,139,183,85
9,product-9,210,252,101,164,179,204,28,92
10,product-10,62,137,230,65,154,89,123,43
11,product-11,48,81,273,204,136,93,93,111
12,product-12,74,126,126,218,132,199,229,61
13,product-13,58,102,223,187,124,129,132,192
14,product-14,218,287,217,79,93,140,213,43
15,product-15,140,222,164,162,93,199,168,61
16,product-16,123,147,194,202,161,6,155,183
17,product-17,101,116,194,45,106,169,146,55
18,product-18,153,223,88,212,117,21,59,68
19,product-19,133,204,27,8,180,43,61,92
20,product-20,70,141,5,37,79,26,180,72
21,product-21,88,178,39,67,142,250,127,89
22,product-22,189,225,239,63,67,184,49,99
23,product-23,36,101,42,49,128,206,55,62
24,product-24,160,168,215,227,117,110,77,101
25,product-25,130,190,72,96,267,57,197,174
26,product-26,203,245,79,140,203,66,170,96
27,product-27,184,228,60,86,154,101,72,95
28,product-28,119,128,99,29,148,25,96,105
29,product-29,45,83,138,146,141,42,6,2
30,product-30,196,270,225,260,200,74,163,95
31,product-31,112,148,66,178,10,195,83,193
32,product-32,155,195,150,114,196,182,59,149
33,product-33,223,238,179,78,62,158,136,14
34,product-34,237,277,71,67,10,249,14,137
35,product-35,30,102,192,129,127,140,250,177
36,product-36,136,182,115,154,45,102,87,80
37,product-37,111,178,29,22,36,219,137,213
38,product-38,132,176,85,108,180,178,97,178
39,product-39,197,274,73,153,252,154,72,51
40,product-40,206,283,64,173,127,64,67,44
41,product-41,103,107,53,31,258,147,33,119
42,product-42,205,248,202,93,172,17,100,67
43,product-43,151,189,194,148,111,104,47,127
44,product-44,173,214,151,122,175,117,169,257
45,product-45,161,211,185,138,180,134,115,165
46,product-46,174,229,259,126,141,150,158,197
47,product-47,210,289,80,66,108,107,145,26
48,product-48,104,124,31,50,97,234,140,220
49,product-49,93,167,52,163,98,232,209,205
50,product-50,179,219,19,225,182,55,37,98
51,product-51,64,161,194,179,125,210,67,53
52,product-52,102,196,128,68,218,63,69,158
53,product-53,174,214,65,130,86,70,192,35
54,product-54,165,165,176,188,126,72,233,118
55,product-55,199,278,231,185,165,19,44,199
56,product-56,116,156,130,117,106,216,26,81
57,product-57,101,181,69,114,167,132,152,112
58,product-58,94,101,5,109,88,82,275,98
59,product-59,80,91,81,114,144,25,162,62
60,product-60,68,118,125,52,23,243,88,178
61,product-61,182,227,81,150,174,165,114,147
62,product-62,121,155,70,64,244,202,73,100
63,product-63,71,132,169,119,150,60,186,236
64,product-64,131,146,152,51,110,9,201,180
65,product-65,18,53,154,207,115,189,122,193
66,product-66,51,135,217,147,211,23,100,67
67,product-67,248,287,111,172,58,196,54,80
68,product-68,117,122,53,179,113,56,92,71
69,product-69,152,221,117,175,201,204,154,76
70,product-70,211,267,127,221,232,200,193,140
71,product-71,36,126,200,36,223,158,141,175
72,product-72,25,109,118,135,147,123,174,87
73,product-73,152,227,108,197,115,118,98,255
74,product-74,210,220,178,114,216,64,145,178
75,product-75,105,168,56,224,133,117,204,41
76,product-76,123,133,99,126,64,96,118,182
77,product-77,146,203,110,85,44,83,81,151
78,product-78,21,83,211,135,79,46,72,205
79,product-79,67,87,52,31,145,113,39,197
80,product-80,90,106,143,174,90,215,44,215
81,product-81,182,192,110,125,223,42,105,30
82,product-82,16,59,172,37,88,89,88,82
83,product-83,117,161,79,101,42,42,116,88
84,product-84,87,162,99,132,115,134,45,29
85,product-85,188,207,158,201,184,46,127,97
86,product-86,130,218,193,88,137,182,74,49
87,product-87,119,194,149,137,132,239,232,203
88,product-88,37,113,207,194,54,114,62,82
89,product-89,150,175,65,26,139,160,134,138
90,product-90,223,230,58,137,99,189,97,48
91,product-91,52,106,184,232,32,191,180,140
92,product-92,170,247,119,69,119,103,158,67
93,product-93,83,118,214,106,89,135,121,227
94,product-94,180,184,106,109,194,82,201,152
95,product-95,66,153,226,192,34,140,175,72
96,product-96,134,177,72,127,87,210,106,44
97,product-97,99,140,70,211,82,114,47,222
98,product-98,151,203,201,23,122,74,51,42
99,product-99,22,103,123,187,165,174,186,17
100,product-100,101,161,48,77,233,26,142,128
