id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,product-1,54,95,85,44,42,223,32,68,63
2,product-2,132,191,186,198,79,96,143,26,136
3,product-3,142,169,68,67,49,185,180,218,28
4,product-4,220,257,207,213,174,37,91,109,142
5,product-5,124,189,31,119,156,41,142,169,190
6,product-6,127,209,201,230,220,157,143,189,38
7,product-7,161,190,161,170,46,195,45,266,212
8,product-8,198,273,69,120,35,194,133,175,86
9,product-9,177,180,184,150,31,170,181,116,3
10,product-10,181,224,165,249,173,156,60,17,135
11,product-11,138,195,182,67,20,112,74,148,62
12,product-12,203,226,172,24,92,46,165,211,165
13,product-13,124,213,55,117,16,45,65,207,88
14,product-14,211,232,131,108,192,96,50,170,46
15,product-15,164,242,183,116,32,141,163,99,14
16,product-16,232,259,120,116,34,59,135,250,206
17,product-17,88,97,63,147,120,168,33,184,102
18,product-18,153,219,245,35,257,167,185,212,33
19,product-19,86,102,78,181,89,201,198,43,207
20,product-20,22,71,69,88,205,193,50,103,91
21,product-21,18,31,187,150,101,59,64,182,188
22,product-22,30,101,239,160,213,18,234,75,81
23,product-23,188,223,94,37,53,203,208,173,119
24,product-24,108,114,265,186,86,230,148,100,71
25,product-25,174,231,197,35,150,216,189,131,63
26,product-26,57,138,31,48,144,180,29,97,105
27,product-27,95,159,204,159,106,209,220,115,152
28,product-28,239,278,150,28,100,135,68,39,191
29,product-29,126,133,169,67,179,133,28,104,126
30,product-30,84,142,187,179,85,114,205,74,105
31,product-31,92,183,99,70,236,215,41,141,59
32,product-32,151,241,43,27,114,196,126,186,89
33,product-33,75,160,177,156,223,58,145,154,55
34,product-34,164,178,115,79,133,133,62,150,60
35,product-35,48,122,140,205,148,196,100,255,157
36,product-36,28,83,66,131,186,177,227,219,205
37,product-37,81,85,126,146,193,77,46,136,148
38,product-38,65,136,53,70,142,194,32,219,109
39,product-39,186,228,187,54,3,161,163,89,119
40,product-40,74,133,192,155,171,241,143,84,69
41,product-41,51,127,40,135,201,57,65,146,125
42,product-42,154,201,147,62,251,185,131,72,115
43,product-43,27,93,202,129,178,57,98,58,125
44,product-44,196,218,164,190,102,133,191,106,172
45,product-45,142,156,161,80,255,132,130,191,16
46,product-46,199,234,92,25,107,146,64,83,236
47,product-47,62,71,37,53,162,185,192,196,176
48,product-48,257,264,226,31,108,102,150,96,155
49,product-49,159,214,27,159,196,187,157,152,171
50,product-50,69,142,173,178,170,17,51,19,90
51,product-51,96,165,130,137,72,7,157,93,86
52,product-52,97,132,111,202,119,18,83,87,236
53,product-53,162,228,110,187,109,59,184,14,173
54,product-54,74,150,69,147,113,38,98,182,236
55,product-55,168,180,201,147,67,198,186,149,105
56,product-56,166,262,83,161,96,92,103,173,79
57,product-57,98,138,95,205,113,34,16,223,144
58,product-58,144,197,45,128,94,131,79,139,159
59,product-59,159,186,73,172,187,108,100,195,142
60,product-60,149,173,86,96,178,163,193,143,21
61,product-61,179,207,195,111,110,43,188,68,218
62,product-62,51,137,38,193,140,135,46,152,146
63,product-63,29,99,92,82,220,47,81,263,65
64,product-64,14,40,235,117,117,80,123,63,74
65,product-65,48,98,71,160,156,193,125,171,104
66,product-66,194,208,82,153,100,218,123,234,22
67,product-67,89,103,218,18,89,128,162,214,23
68,product-68,122,174,70,161,92,41,201,118,175
69,product-69,26,77,100,178,198,106,134,152,25
70,product-70,63,137,87,181,96,121,192,39,128
71,product-71,107,153,18,42,205,140,30,165,175
72,product-72,30,54,193,42,131,224,195,118,255
73,product-73,48,74,17,66,120,140,157,114,52
74,product-74,186,188,213,73,112,219,86,178,87
75,product-75,203,253,87,205,89,162,43,153,107
76,product-76,151,175,199,112,191,146,95,140,108
77,product-77,84,127,104,66,139,118,180,104,112
78,product-78,183,263,157,164,139,131,199,96,87
79,product-79,93,136,221,146,211,203,94,167,146
80,product-80,165,169,144,156,174,49,167,166,243
81,product-81,160,180,45,193,183,95,190,25,192
82,product-82,122,173,154,131,220,166,114,141,211
83,product-83,33,76,158,26,221,40,53,65,59
84,product-84,16,103,162,8,223,104,60,48,128
85,product-85,152,166,159,49,197,170,159,20,71
86,product-86,104,145,149,31,86,202,10,121,72
87,product-87,236,282,2,105,107,81,214,108,96
88,product-88,161,168,86,49,53,56,107,62,200
89,product-89,117,151,49,67,64,109,44,30,26
90,product-90,136,196,77,180,5,158,91,136,131
91,product-91,154,160,92,247,98,211,211,82,126
92,product-92,127,218,193,114,209,130,78,197,164
93,product-93,178,244,267,167,21,85,81,186,185
94,product-94,12,101,189,49,102,156,154,223,180
95,product-95,51,129,99,33,13,87,98,89,222
96,product-96,43,107,259,36,154,192,218,156,110
97,product-97,15,91,104,65,247,201,97,89,165
98,product-98,160,223,231,170,108,25,166,216,14
99,product-99,32,95,215,58,71,189,182,171,61
100,product-100,90,155,202,99,213,71,213,9,42
101,product-101,54,90,156,147,94,210,104,157,36
102,product-102,116,206,97,29,193,70,123,149,116
103,product-103,149,223,122,108,145,176,108,141,45
104,product-104,69,101,197,158,62,87,132,200,87
105,product-105,67,137,165,121,245,118,192,101,259
106,product-106,146,205,63,172,104,85,94,215,205
