id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,customer-1,146,160,202,170,225,106,194,93,177
2,customer-2,37,95,147,56,23,13,191,71,131
3,customer-3,100,110,41,156,81,72,77,190,214
4,customer-4,195,281,102,62,62,19,134,199,41
5,customer-5,216,292,83,146,191,211,33,71,190
6,customer-6,33,57,71,71,100,138,190,31,139
7,customer-7,156,243,35,118,12,61,21,172,84
8,customer-8,217,296,112,30,96,35,53,182,152
9,customer-9,65,140,43,62,70,109,93,139,37
10,customer-10,82,96,84,224,35,159,100,219,65
11,customer-11,194,279,58,114,24,120,112,236,76
12,customer-12,149,230,169,251,27,73,58,129,142
13,customer-13,181,271,160,75,57,171,173,262,97
14,customer-14,116,122,57,74,80,44,46,190,178
15,customer-15,25,107,129,41,188,104,101,131,174
16,customer-16,171,206,118,106,165,157,90,139,188
17,customer-17,164,188,108,70,45,197,113,57,64
18,customer-18,11,28,269,118,254,88,130,182,165
19,customer-19,206,232,31,126,40,79,140,182,195
20,customer-20,166,171,121,134,45,31,57,144,176
21,customer-21,128,136,121,207,131,76,58,65,189
22,customer-22,88,91,190,59,41,78,178,178,161
23,customer-23,41,65,123,193,10,53,207,169,115
24,customer-24,189,275,165,52,62,227,217,206,124
25,customer-25,102,145,29,148,156,191,230,150,43
26,customer-26,4,91,195,132,6,92,136,110,255
27,customer-27,21,103,156,130,243,83,79,18,183
28,customer-28,90,118,89,129,171,49,149,146,138
29,customer-29,234,317,76,18,175,83,63,87,172
30,customer-30,122,185,27,58,107,171,131,70,76
31,customer-31,75,99,167,45,101,36,135,90,63
32,customer-32,4,91,170,158,139,164,125,61,50
33,customer-33,146,232,213,56,225,46,120,4,33
34,customer-34,169,247,70,195,244,91,154,166,64
35,customer-35,99,176,51,166,18,85,169,45,42
36,customer-36,31,40,209,61,101,97,66,199,155
37,customer-37,216,298,173,160,97,176,84,144,67
38,customer-38,195,266,54,271,55,106,235,61,104
39,customer-39,132,204,163,92,157,217,133,60,25
40,customer-40,60,72,112,173,164,44,155,97,108
41,customer-41,25,42,126,18,181,12,158,206,129
42,customer-42,159,242,212,37,92,232,177,129,149
43,customer-43,170,213,171,145,129,143,188,101,108
44,customer-44,57,96,56,182,102,80,184,183,47
45,customer-45,34,92,43,190,72,30,141,91,118
46,customer-46,170,233,143,109,45,155,106,118,124
47,customer-47,222,252,54,158,25,46,208,99,22
48,customer-48,104,105,133,135,215,133,94,184,195
49,customer-49,51,76,60,133,117,93,82,144,178
50,customer-50,188,195,59,58,200,59,143,19,124
51,customer-51,86,146,132,38,169,162,172,127,9
52,customer-52,155,199,67,85,193,203,217,141,65
53,customer-53,244,328,56,128,34,176,203,180,190
54,customer-54,157,166,196,188,130,78,64,201,205
55,customer-55,119,173,81,104,93,221,74,60,139
56,customer-56,162,199,169,147,28,210,18,147,108
57,customer-57,72,148,194,207,106,168,248,152,83
58,customer-58,158,204,81,6,172,155,91,84,225
59,customer-59,152,188,66,35,192,26,136,62,112
60,customer-60,17,20,15,53,90,143,231,120,66
61,customer-61,226,233,41,148,156,170,96,105,129
62,customer-62,110,188,145,35,173,88,102,200,168
63,customer-63,183,265,59,69,80,102,51,57,117
64,customer-64,111,210,201,65,141,4,150,35,268
65,customer-65,119,201,203,97,162,143,61,249,122
66,customer-66,72,102,199,204,135,47,126,140,251
67,customer-67,163,223,174,141,21,201,205,153,136
68,customer-68,144,193,128,111,57,133,45,103,143
69,customer-69,171,259,163,113,80,169,66,17,114
70,customer-70,106,134,153,77,188,228,103,187,167
71,customer-71,121,185,169,92,201,44,188,76,88
72,customer-72,79,118,268,153,12,68,200,17,147
73,customer-73,95,161,142,132,31,123,126,124,175
74,customer-74,179,269,34,185,130,142,28,107,73
75,customer-75,133,191,106,118,78,148,252,98,231
