id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,56,149,208,44,32,170
2,customer-2,211,212,43,94,187,10
3,customer-3,65,132,104,193,187,75
4,customer-4,165,169,200,179,209,53
5,customer-5,207,221,140,73,211,201
6,customer-6,94,135,58,48,164,233
7,customer-7,149,221,87,232,43,239
8,customer-8,99,186,186,100,151,128
9,customer-9,171,207,210,194,69,76
10,customer-10,159,173,18,69,120,163
11,customer-11,97,180,85,112,127,171
12,customer-12,152,230,203,125,153,129
13,customer-13,59,117,188,58,37,101
14,customer-14,147,187,78,88,74,67
15,customer-15,70,138,175,85,206,111
16,customer-16,58,128,124,102,118,53
17,customer-17,157,237,85,5,51,195
18,customer-18,144,202,50,165,30,224
19,customer-19,103,182,133,77,91,60
20,customer-20,222,257,96,186,137,152
21,customer-21,116,161,86,16,48,52
22,customer-22,83,90,119,16,242,156
23,customer-23,214,254,63,108,93,8
24,customer-24,197,279,40,127,149,187
25,customer-25,42,66,225,54,120,104
26,customer-26,196,244,29,46,63,226
27,customer-27,247,290,139,75,114,185
28,customer-28,107,147,109,155,231,114
29,customer-29,99,138,216,110,152,121
30,customer-30,129,189,215,171,191,223
31,customer-31,55,149,187,221,75,84
32,customer-32,26,122,24,106,92,78
33,customer-33,119,181,237,143,150,130
34,customer-34,161,203,83,161,179,89
35,customer-35,192,258,58,186,160,189
36,customer-36,121,163,112,116,36,184
37,customer-37,180,216,197,46,107,190
38,customer-38,162,234,34,198,159,219
39,customer-39,154,186,183,133,193,95
40,customer-40,87,90,120,109,167,151
41,customer-41,80,140,103,134,96,37
42,customer-42,52,87,198,111,75,120
43,customer-43,185,194,60,84,193,20
44,customer-44,107,168,175,187,81,190
45,customer-45,72,84,130,49,66,163
46,customer-46,181,217,185,80,69,235
47,customer-47,232,289,92,104,117,99
48,customer-48,228,236,185,96,209,159
49,customer-49,14,89,83,97,83,106
50,customer-50,165,198,212,151,206,211
51,customer-51,204,256,65,82,28,153
52,customer-52,49,62,197,175,136,189
53,customer-53,67,126,86,212,49,139
54,customer-54,87,125,42,157,184,201
55,customer-55,78,151,196,40,221,209
56,customer-56,206,271,110,95,69,69
57,customer-57,239,269,176,168,128,56
58,customer-58,125,169,64,51,51,101
59,customer-59,204,255,153,109,13,80
60,customer-60,137,174,72,121,115,129
61,customer-61,192,276,137,127,98,45
62,customer-62,232,322,60,14,65,182
63,customer-63,199,270,223,87,106,205
64,customer-64,14,33,79,224,22,101
65,customer-65,185,234,121,169,214,218
66,customer-66,77,90,63,175,121,175
67,customer-67,186,260,193,248,145,161
68,customer-68,66,89,140,108,121,52
69,customer-69,84,88,197,119,124,21
70,customer-70,174,194,205,153,243,64
71,customer-71,9,29,232,148,195,106
72,customer-72,219,284,111,188,180,167
73,customer-73,201,260,163,97,43,30
74,customer-74,27,77,148,81,99,23
75,customer-75,112,123,199,210,169,66
76,customer-76,150,233,74,103,49,171
77,customer-77,164,195,74,21,117,183
78,customer-78,172,241,264,41,126,114
79,customer-79,150,166,104,173,121,201
80,customer-80,32,85,184,59,195,79
81,customer-81,142,168,181,162,182,53
82,customer-82,6,79,39,253,179,127
83,customer-83,112,167,59,118,143,32
84,customer-84,127,140,65,4,183,157
85,customer-85,192,256,129,154,145,159
86,customer-86,138,233,107,56,75,138
87,customer-87,73,165,17,105,144,165
88,customer-88,211,252,31,124,135,28
89,customer-89,58,86,130,197,127,204
90,customer-90,231,272,58,119,282,161
91,customer-91,94,94,108,95,47,176
92,customer-92,158,206,201,12,208,234
93,customer-93,200,239,118,118,54,149
94,customer-94,120,134,43,169,207,131
95,customer-95,80,136,75,196,161,116
96,customer-96,134,218,143,75,38,80
97,customer-97,77,118,235,198,172,47
98,customer-98,156,157,145,50,5,127
99,customer-99,259,282,170,102,187,90
100,customer-100,211,245,43,134,101,243
101,customer-101,161,186,153,149,95,79
102,customer-102,63,105,202,113,197,166
103,customer-103,138,157,185,72,177,244
104,customer-104,100,180,84,215,257,194
105,customer-105,58,88,222,133,77,128
106,customer-106,51,126,22,161,83,181
107,customer-107,90,125,118,128,55,97
108,customer-108,212,252,99,70,231,126
109,customer-109,157,219,198,147,21,167
110,customer-110,183,196,75,99,18,34
111,customer-111,138,145,180,163,166,169
112,customer-112,70,129,219,86,58,41
113,customer-113,216,281,185,37,218,192
114,customer-114,59,124,167,68,118,27
115,customer-115,225,316,107,33,124,55
116,customer-116,161,244,112,200,251,100
117,customer-117,142,225,134,159,190,18
118,customer-118,40,44,168,128,80,63
119,customer-119,214,227,92,75,119,152
120,customer-120,77,126,27,128,125,66
121,customer-121,86,123,156,92,22,89
122,customer-122,90,124,25,136,204,139
123,customer-123,91,130,112,196,241,234
124,customer-124,180,261,170,74,159,104
125,customer-125,108,183,144,238,18,156
126,customer-126,111,184,171,113,28,160
127,customer-127,100,188,98,78,199,144
128,customer-128,165,222,183,182,156,257
129,customer-129,35,55,160,8,95,64
130,customer-130,125,180,97,80,24,184
131,customer-131,185,217,71,44,174,101
132,customer-132,255,272,62,117,45,100
133,customer-133,111,117,10,101,91,142
134,customer-134,179,218,110,150,142,111
135,customer-135,90,105,232,49,47,82
136,customer-136,177,225,187,158,158,12
137,customer-137,46,51,113,166,177,205
138,customer-138,195,260,143,173,18,178
139,customer-139,193,217,114,62,207,210
140,customer-140,145,205,27,227,221,84
141,customer-141,187,216,42,162,130,125
142,customer-142,220,273,173,119,116,126
143,customer-143,84,163,194,191,166,23
144,customer-144,109,151,208,87,151,38
145,customer-145,221,242,16,83,214,184
146,customer-146,207,295,80,204,88,48
147,customer-147,194,279,97,13,69,138
148,customer-148,50,76,134,209,85,117
149,customer-149,233,273,19,153,140,3
150,customer-150,91,157,112,73,203,23
151,customer-151,264,296,165,141,225,37
152,customer-152,136,197,56,169,138,51
153,customer-153,250,292,171,161,114,222
154,customer-154,133,146,226,208,170,96
155,customer-155,117,143,107,94,161,218
156,customer-156,98,153,104,62,129,237
157,customer-157,202,255,129,176,139,171
158,customer-158,36,106,120,193,155,69
159,customer-159,173,233,153,149,205,152
160,customer-160,171,224,201,26,199,18
161,customer-161,67,153,163,79,278,85
162,customer-162,158,235,209,70,205,195
163,customer-163,207,232,54,136,202,40
164,customer-164,20,52,105,175,146,167
165,customer-165,53,123,146,223,206,106
166,customer-166,176,180,100,206,172,56
167,customer-167,84,155,189,18,52,156
168,customer-168,94,102,182,225,228,24
169,customer-169,133,201,130,131,72,64
170,customer-170,171,255,46,79,140,21
171,customer-171,140,187,38,90,210,82
172,customer-172,39,46,36,183,59,234
173,customer-173,18,86,197,178,87,92
174,customer-174,54,125,200,9,221,207
175,customer-175,72,102,132,40,36,122
176,customer-176,242,289,202,92,115,168
177,customer-177,155,196,195,165,118,52
178,customer-178,204,270,130,187,202,218
179,customer-179,252,346,266,52,143,31
180,customer-180,197,250,140,195,71,35
181,customer-181,38,107,222,128,212,150
182,customer-182,103,138,90,110,139,120
183,customer-183,72,87,46,81,222,229
184,customer-184,197,254,88,45,177,55
185,customer-185,28,65,58,171,226,135
186,customer-186,53,141,129,32,197,84
187,customer-187,89,160,37,82,125,93
188,customer-188,234,239,119,149,40,271
189,customer-189,108,172,166,120,86,171
190,customer-190,68,147,149,200,82,28
191,customer-191,123,133,55,115,81,191
192,customer-192,43,102,71,169,130,164
193,customer-193,66,150,52,162,209,186
194,customer-194,125,174,56,98,127,178
195,customer-195,92,113,202,167,142,25
196,customer-196,30,97,72,73,181,165
197,customer-197,57,110,111,174,228,176
198,customer-198,42,45,90,81,33,62
199,customer-199,69,138,158,47,109,212
200,customer-200,182,238,202,71,165,52
201,customer-201,176,245,140,129,82,222
202,customer-202,167,251,212,93,228,42
203,customer-203,200,236,25,230,120,58
204,customer-204,145,177,198,196,86,184
205,customer-205,200,281,197,192,190,155
206,customer-206,51,125,173,246,31,218
207,customer-207,33,58,76,114,102,207
208,customer-208,35,101,133,200,194,110
209,customer-209,129,174,209,51,82,172
210,customer-210,241,260,223,218,133,234
211,customer-211,122,190,148,22,184,9
212,customer-212,259,304,103,92,36,61
213,customer-213,76,112,60,156,184,208
214,customer-214,180,210,40,199,53,96
215,customer-215,134,162,219,33,138,50
216,customer-216,70,97,51,72,179,138
217,customer-217,111,144,80,24,109,47
218,customer-218,60,111,102,29,64,235
219,customer-219,27,89,202,54,165,12
220,customer-220,117,156,150,130,119,145
221,customer-221,222,314,67,131,211,119
222,customer-222,159,172,98,113,78,121
223,customer-223,44,120,183,14,125,138
224,customer-224,21,55,33,250,122,204
225,customer-225,56,70,75,80,37,124
226,customer-226,197,282,77,162,117,66
227,customer-227,216,294,166,81,81,149
228,customer-228,168,200,179,235,210,184
229,customer-229,67,132,144,116,139,3
230,customer-230,116,162,94,121,96,177
231,customer-231,200,216,174,217,151,126
232,customer-232,50,120,55,235,190,202
233,customer-233,41,123,17,146,34,216
234,customer-234,59,95,216,96,190,81
235,customer-235,76,76,111,146,143,11
236,customer-236,232,259,157,120,119,9
237,customer-237,196,250,126,196,84,130
238,customer-238,42,52,70,67,133,213
239,customer-239,64,91,137,136,99,195
240,customer-240,20,88,118,249,181,255
241,customer-241,115,152,199,138,40,6
242,customer-242,127,209,213,164,173,31
243,customer-243,120,186,173,198,78,96
244,customer-244,144,209,208,130,195,95
245,customer-245,67,133,155,203,224,242
246,customer-246,136,232,217,49,116,177
247,customer-247,71,156,27,101,152,150
248,customer-248,222,238,43,179,233,54
249,customer-249,190,281,130,173,190,57
250,customer-250,180,192,145,200,119,176
251,customer-251,56,149,237,195,114,196
252,customer-252,196,207,220,99,148,222
253,customer-253,164,192,158,167,69,78
