id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,product-1,30,110,204,96,191,48,220,83,185
2,product-2,149,228,143,77,183,146,118,156,112
3,product-3,187,200,221,180,150,46,89,62,142
4,product-4,154,168,253,98,93,75,124,22,36
5,product-5,134,204,105,121,200,11,65,28,137
6,product-6,6,70,58,52,117,74,97,212,101
7,product-7,217,235,248,83,123,134,105,100,21
8,product-8,90,179,184,136,153,60,75,174,177
9,product-9,66,66,208,90,45,165,182,37,24
10,product-10,176,229,146,130,191,32,29,212,45
11,product-11,183,218,139,184,56,192,96,119,177
12,product-12,227,230,52,89,59,161,206,183,223
13,product-13,73,83,93,42,125,39,79,220,161
14,product-14,115,115,84,10,180,69,57,207,226
15,product-15,198,284,92,139,196,55,111,118,222
16,product-16,59,114,121,176,85,153,78,63,28
17,product-17,200,209,109,181,87,96,125,103,191
18,product-18,62,129,50,203,112,52,232,40,19
19,product-19,130,222,139,223,120,32,136,16,105
20,product-20,116,188,154,78,54,177,51,194,7
21,product-21,120,157,168,83,95,50,122,157,26
22,product-22,140,178,84,255,103,224,135,53,136
23,product-23,133,138,36,231,115,105,58,20,57
24,product-24,43,78,197,3,122,68,56,165,75
25,product-25,26,44,162,108,229,85,118,63,75
26,product-26,217,296,187,156,171,72,18,38,242
27,product-27,60,81,165,145,47,51,51,174,216
28,product-28,87,160,196,18,123,227,27,242,89
29,product-29,158,158,80,95,81,126,141,106,176
30,product-30,20,69,30,125,189,125,189,82,146
31,product-31,53,85,170,76,123,193,70,140,79
32,product-32,107,130,84,72,185,151,70,144,89
33,product-33,154,178,133,204,181,188,196,60,50
34,product-34,163,194,180,120,15,17,232,23,214
35,product-35,74,166,91,73,28,41,78,135,196
36,product-36,128,196,174,60,136,64,61,125,221
37,product-37,112,195,86,55,64,118,238,202,88
38,product-38,15,84,204,237,120,199,223,133,246
39,product-39,185,188,190,65,219,58,86,171,180
40,product-40,200,202,211,47,85,54,98,240,69
41,product-41,127,217,68,32,102,117,196,109,112
42,product-42,113,125,108,262,148,54,113,170,201
43,product-43,214,289,126,102,204,168,174,219,166
44,product-44,160,212,114,146,36,140,130,51,173
45,product-45,111,141,22,84,37,59,134,115,75
46,product-46,73,149,156,160,166,79,149,185,40
47,product-47,162,174,110,114,149,91,179,204,5
48,product-48,23,45,72,149,123,35,53,201,95
49,product-49,167,187,171,224,182,133,212,54,179
50,product-50,77,90,178,25,162,127,94,74,168
51,product-51,165,170,126,140,146,139,257,68,165
52,product-52,122,154,22,67,136,84,46,146,200
53,product-53,127,203,120,94,115,186,69,145,202
54,product-54,76,86,171,69,198,43,88,72,121
55,product-55,38,133,102,220,101,124,186,50,165
56,product-56,259,340,98,19,148,62,238,26,102
57,product-57,227,310,80,100,150,266,106,145,43
58,product-58,117,154,168,212,168,139,196,72,19
59,product-59,136,199,110,118,48,54,142,29,26
60,product-60,194,272,62,106,189,153,96,217,72
61,product-61,173,201,35,127,37,198,136,73,115
62,product-62,74,101,49,82,140,75,73,146,103
63,product-63,185,235,133,70,184,28,149,208,190
64,product-64,124,160,142,3,220,141,165,207,186
65,product-65,63,124,224,104,149,233,77,82,157
66,product-66,155,226,19,96,249,19,30,61,83
67,product-67,177,184,157,205,47,192,202,220,90
68,product-68,261,332,84,86,115,87,120,32,160
69,product-69,132,194,63,42,102,167,41,160,135
70,product-70,161,177,113,66,186,74,193,132,158
71,product-71,152,187,158,207,139,84,186,164,139
72,product-72,42,55,81,214,57,62,156,64,144
73,product-73,64,71,212,68,176,147,155,96,32
74,product-74,134,215,123,206,119,86,100,178,175
75,product-75,159,194,17,213,108,172,210,120,187
76,product-76,105,184,167,135,93,214,165,143,104
77,product-77,98,115,155,214,111,142,22,218,165
78,product-78,124,192,163,133,62,172,50,130,169
79,product-79,201,288,232,181,227,109,90,79,202
80,product-80,202,253,208,122,130,90,146,195,264
81,product-81,211,224,79,263,114,166,64,66,209
82,product-82,139,228,54,18,150,146,97,226,96
83,product-83,214,292,36,81,82,40,227,92,169
84,product-84,150,157,36,220,104,184,201,139,192
85,product-85,129,166,69,159,155,61,49,161,143
86,product-86,188,249,47,56,7,134,87,47,108
