id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6
1,customer-1,215,292,235,177,74,118,180,166,152
2,customer-2,192,221,111,85,84,75,49,130,110
3,customer-3,70,138,162,219,189,210,197,166,55
4,customer-4,246,255,122,117,67,194,112,138,197
5,customer-5,55,105,151,104,219,31,174,79,146
6,customer-6,10,38,182,206,243,110,196,31,31
7,customer-7,195,254,194,204,128,206,105,68,37
8,customer-8,144,185,37,159,5,109,12,166,195
9,customer-9,201,284,223,130,202,113,168,124,195
10,customer-10,208,259,89,140,109,140,208,183,176
11,customer-11,151,190,146,34,46,174,169,207,134
12,customer-12,227,314,126,69,179,11,98,194,101
13,customer-13,135,137,85,119,58,55,56,37,248
14,customer-14,25,87,149,77,250,119,256,49,183
15,customer-15,107,180,38,46,150,120,163,178,28
16,customer-16,59,70,138,127,201,97,74,66,74
17,customer-17,38,53,115,169,101,136,162,64,211
18,customer-18,46,111,108,51,51,37,36,99,188
19,customer-19,72,150,214,47,155,59,135,185,217
20,customer-20,197,203,185,158,176,193,177,33,55
21,customer-21,141,204,220,80,207,55,85,46,11
22,customer-22,51,124,184,104,137,24,40,70,80
23,customer-23,198,237,15,125,53,212,70,21,138
24,customer-24,107,193,195,169,87,101,160,23,109
25,customer-25,66,105,182,92,140,116,58,132,199
26,customer-26,94,149,147,178,23,150,248,46,96
27,customer-27,49,116,154,128,59,9,156,170,63
28,customer-28,167,261,74,33,165,52,81,57,132
29,customer-29,169,245,40,220,103,165,163,185,106
30,customer-30,67,138,165,189,113,141,56,136,84
31,customer-31,143,218,138,163,212,163,141,185,136
32,customer-32,126,206,51,233,194,53,199,137,169
33,customer-33,120,159,95,127,174,177,28,66,69
34,customer-34,210,269,229,202,115,54,63,104,182
35,customer-35,20,87,66,73,61,42,66,93,32
36,customer-36,200,243,107,95,84,95,113,168,170
37,customer-37,40,102,101,202,195,64,147,95,69
38,customer-38,154,221,249,94,62,193,75,67,146
39,customer-39,47,110,148,137,241,123,78,143,169
40,customer-40,44,88,2,43,113,84,44,238,107
41,customer-41,34,82,1,212,68,98,63,27,204
42,customer-42,103,115,155,164,105,39,115,135,49
43,customer-43,145,216,75,54,194,192,82,23,191
44,customer-44,184,245,207,78,224,55,37,27,61
45,customer-45,25,30,110,183,34,61,59,104,166
46,customer-46,109,164,198,131,168,91,261,116,206
47,customer-47,204,229,180,271,97,33,164,181,120
48,customer-48,156,215,249,198,90,159,119,73,32
49,customer-49,88,165,133,227,72,55,39,61,286
50,customer-50,148,238,140,194,165,81,199,196,162
51,customer-51,182,263,87,137,231,48,75,160,164
52,customer-52,115,172,85,76,231,174,110,65,133
53,customer-53,57,66,136,195,158,42,216,148,59
54,customer-54,136,200,52,138,201,150,192,162,140
55,customer-55,117,197,146,89,120,116,85,92,184
56,customer-56,63,78,170,48,161,148,72,195,140
57,customer-57,80,172,101,160,198,106,192,194,116
58,customer-58,202,227,39,98,120,23,212,209,84
59,customer-59,152,216,141,134,94,116,48,74,195
60,customer-60,161,209,191,92,44,171,41,83,166
61,customer-61,163,224,17,196,176,227,114,100,18
62,customer-62,154,224,117,66,90,70,189,44,73
63,customer-63,150,188,160,219,171,167,131,198,242
64,customer-64,163,177,117,53,58,68,84,188,156
65,customer-65,53,57,70,221,129,106,134,78,125
66,customer-66,112,151,87,98,99,78,81,79,24
67,customer-67,98,125,95,146,21,80,76,61,205
68,customer-68,45,50,108,110,47,84,179,55,61
69,customer-69,87,99,205,114,218,13,156,132,18
70,customer-70,36,109,18,228,111,200,35,156,7
71,customer-71,155,168,176,243,68,237,76,83,49
72,customer-72,125,156,87,169,33,4,204,41,113
73,customer-73,202,266,32,110,100,148,108,244,153
74,customer-74,151,161,80,95,149,55,170,195,34
75,customer-75,104,189,162,206,89,128,34,253,38
76,customer-76,197,235,153,85,124,53,203,78,67
77,customer-77,126,132,64,38,133,11,61,82,160
78,customer-78,112,120,106,177,188,225,135,184,205
79,customer-79,47,86,183,167,32,116,93,199,149
80,customer-80,85,162,86,133,192,58,163,167,130
81,customer-81,115,204,131,147,85,234,182,274,162
82,customer-82,82,136,97,186,122,188,75,168,90
83,customer-83,96,148,199,169,196,64,199,74,194
84,customer-84,137,144,190,3,119,148,112,113,83
85,customer-85,202,240,200,130,156,23,34,35,211
86,customer-86,108,157,84,232,88,7,132,138,239
87,customer-87,109,119,224,74,136,124,175,149,25
88,customer-88,22,91,236,116,156,200,65,97,97
89,customer-89,42,122,88,170,52,132,48,242,117
90,customer-90,136,169,115,54,55,262,165,42,73
91,customer-91,39,42,29,66,186,54,203,81,61
92,customer-92,263,318,166,106,19,286,112,143,145
93,customer-93,117,130,212,257,182,96,41,73,111
94,customer-94,199,262,50,67,34,63,82,119,184
95,customer-95,182,184,34,89,140,231,111,44,202
96,customer-96,140,141,4,130,203,167,22,94,99
97,customer-97,106,175,13,94,94,145,91,123,138
98,customer-98,210,307,122,136,162,237,134,17,160
99,customer-99,129,168,42,125,170,11,142,159,184
100,customer-100,171,231,188,229,123,98,149,27,192
101,customer-101,245,247,212,44,80,57,69,175,200
102,customer-102,207,251,174,150,88,51,181,220,223
103,customer-103,43,58,103,184,148,26,152,189,77
104,customer-104,74,161,99,148,67,64,69,78,242
105,customer-105,139,193,66,53,139,79,153,96,229
106,customer-106,97,137,129,142,160,204,12,189,146
107,customer-107,137,203,188,107,109,194,173,120,172
108,customer-108,51,69,149,111,142,140,205,67,130
109,customer-109,136,224,40,83,192,97,72,121,198
110,customer-110,54,141,113,27,157,223,5,101,78
111,customer-111,150,205,59,203,191,41,170,60,51
112,customer-112,34,99,184,71,77,74,78,89,72
113,customer-113,119,137,147,148,72,216,180,113,125
114,customer-114,148,205,40,140,124,182,189,99,110
115,customer-115,135,223,170,77,180,57,242,110,138
116,customer-116,217,218,126,112,137,221,132,91,22
117,customer-117,179,271,197,124,185,51,81,159,57
118,customer-118,147,170,226,56,20,48,110,101,148
119,customer-119,94,176,70,208,88,14,80,122,172
120,customer-120,189,254,187,181,106,123,72,223,13
121,customer-121,172,223,145,173,75,252,91,139,234
122,customer-122,62,91,200,220,154,143,206,182,38
123,customer-123,203,286,5,59,228,121,265,191,114
124,customer-124,106,168,175,80,129,82,129,174,135
125,customer-125,198,248,192,48,86,171,38,128,141
126,customer-126,97,193,268,241,86,100,250,138,45
127,customer-127,68,123,88,150,10,161,178,51,123
128,customer-128,34,98,33,137,230,203,183,91,137
129,customer-129,125,150,109,165,210,130,140,194,188
130,customer-130,170,220,103,214,159,196,152,166,107
131,customer-131,90,133,88,13,187,150,89,163,247
132,customer-132,86,118,182,184,194,86,188,136,58
133,customer-133,143,218,139,37,137,87,103,144,45
134,customer-134,171,258,175,159,183,136,108,201,178
135,customer-135,185,242,81,170,31,18,50,63,182
136,customer-136,46,124,162,20,130,206,179,18,141
137,customer-137,164,180,184,103,77,211,141,84,85
138,customer-138,22,82,92,93,124,192,37,123,212
139,customer-139,155,174,122,49,67,232,152,67,180
140,customer-140,117,152,48,43,207,139,49,40,90
141,customer-141,16,19,40,110,124,165,82,66,157
142,customer-142,99,135,184,148,84,106,141,75,194
143,customer-143,205,279,244,132,43,202,167,198,224
144,customer-144,156,181,132,70,115,174,166,18,267
145,customer-145,208,242,88,94,149,153,139,143,70
146,customer-146,71,138,180,108,177,73,36,123,170
147,customer-147,98,118,160,59,127,133,157,173,37
148,customer-148,5,99,165,190,154,152,82,89,55
149,customer-149,37,92,31,120,197,138,53,135,102
150,customer-150,137,214,149,203,66,199,79,75,71
151,customer-151,165,227,64,215,15,214,93,230,150
152,customer-152,152,197,246,101,64,185,65,35,151
153,customer-153,183,201,163,13,120,209,30,219,127
154,customer-154,141,212,231,145,72,165,40,36,33
155,customer-155,138,141,49,88,87,114,108,181,164
156,customer-156,127,196,113,159,107,171,241,135,26
157,customer-157,158,194,203,60,26,93,182,108,14
158,customer-158,98,140,217,93,64,73,77,210,71
159,customer-159,188,237,78,154,19,158,185,116,34
160,customer-160,105,175,165,140,154,122,118,211,121
161,customer-161,204,249,79,66,224,220,140,143,154
162,customer-162,38,74,63,40,207,113,69,87,142
163,customer-163,171,262,194,129,244,232,88,194,107
164,customer-164,66,112,112,80,52,167,134,169,82
165,customer-165,72,143,30,60,136,193,204,28,42
166,customer-166,146,234,208,59,158,11,96,105,79
167,customer-167,96,136,142,60,67,123,207,71,169
168,customer-168,222,273,109,65,190,120,194,35,222
169,customer-169,227,260,173,34,127,22,118,120,127
170,customer-170,168,201,126,121,109,270,151,181,218
171,customer-171,113,184,150,139,88,136,106,71,110
172,customer-172,208,265,26,22,14,234,128,57,75
173,customer-173,62,101,84,185,126,152,22,209,31
174,customer-174,124,179,269,84,179,140,177,225,102
175,customer-175,31,107,105,143,245,186,176,203,27
176,customer-176,84,146,83,166,123,87,116,59,170
177,customer-177,33,71,240,193,83,261,107,169,212
178,customer-178,197,214,204,146,129,155,141,122,137
179,customer-179,99,140,147,22,141,59,184,140,31
180,customer-180,169,205,159,155,40,180,180,118,128
181,customer-181,104,126,186,130,70,86,22,93,239
182,customer-182,168,194,74,130,20,53,89,208,130
183,customer-183,137,229,38,190,180,193,79,67,124
184,customer-184,124,218,138,205,208,213,102,78,185
185,customer-185,202,271,205,136,110,40,24,161,165
186,customer-186,171,242,16,75,82,62,143,31,90
187,customer-187,142,177,44,95,233,47,185,151,63
188,customer-188,165,244,217,121,61,59,91,88,90
189,customer-189,200,300,0,86,146,89,105,219,55
190,customer-190,127,182,127,27,73,144,46,95,154
191,customer-191,183,209,63,161,80,37,118,142,126
192,customer-192,116,164,181,84,111,43,156,132,133
193,customer-193,112,153,121,117,9,166,123,57,217
194,customer-194,208,295,5,110,97,100,106,217,24
195,customer-195,47,102,37,107,136,112,72,74,71
196,customer-196,69,72,174,123,211,41,274,212,93
197,customer-197,196,282,150,153,129,41,132,12,48
198,customer-198,25,58,199,181,130,151,170,214,178
199,customer-199,211,280,171,64,169,159,168,226,47
200,customer-200,66,106,123,119,231,216,173,126,135
201,customer-201,81,162,46,165,138,228,191,168,138
202,customer-202,150,219,234,183,88,185,83,211,62
203,customer-203,141,188,24,100,234,211,189,164,225
204,customer-204,202,228,197,53,151,255,31,62,112
205,customer-205,62,102,65,68,85,25,102,242,226
206,customer-206,209,244,161,13,187,182,107,168,90
207,customer-207,146,206,87,179,72,164,113,110,77
208,customer-208,105,192,57,109,32,130,137,50,138
209,customer-209,54,84,168,211,102,58,187,67,62
210,customer-210,17,103,75,90,101,36,12,87,186
211,customer-211,170,249,96,185,109,118,178,107,209
212,customer-212,142,157,186,282,213,169,88,167,46
213,customer-213,44,114,175,130,173,160,76,175,76
214,customer-214,150,155,153,229,79,199,162,112,55
215,customer-215,211,253,88,94,105,122,60,129,69
216,customer-216,95,128,19,111,190,13,42,47,90
217,customer-217,102,189,48,146,63,143,164,120,82
218,customer-218,172,222,136,127,201,268,190,197,194
219,customer-219,215,313,94,174,27,70,45,149,79
