id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,product-1,145,169,189,172,189,179,32
2,product-2,176,256,60,126,59,73,246
3,product-3,71,102,78,101,76,66,33
4,product-4,135,139,72,40,69,101,49
5,product-5,190,220,79,113,63,269,113
6,product-6,231,272,136,49,229,227,72
7,product-7,46,110,85,117,82,132,221
8,product-8,109,159,166,199,202,50,198
9,product-9,121,127,63,253,171,236,73
10,product-10,217,251,162,98,205,79,68
11,product-11,178,240,234,151,189,135,60
12,product-12,123,128,55,83,98,169,18
13,product-13,169,211,126,96,88,121,157
14,product-14,233,270,145,21,15,39,44
15,product-15,192,286,36,153,132,111,199
16,product-16,136,177,26,65,8,78,225
17,product-17,50,94,83,243,37,131,74
18,product-18,116,193,102,110,95,285,105
19,product-19,161,256,56,126,165,77,37
20,product-20,248,274,55,66,47,178,54
21,product-21,195,271,226,118,179,61,64
22,product-22,161,223,78,150,62,248,160
23,product-23,132,172,205,176,198,142,188
24,product-24,93,140,180,140,190,83,98
25,product-25,50,63,200,213,114,180,204
26,product-26,113,208,162,118,67,192,110
27,product-27,222,267,14,48,126,158,92
28,product-28,195,229,157,138,120,119,118
29,product-29,118,135,15,134,79,106,196
30,product-30,15,47,50,184,4,221,119
31,product-31,266,271,157,256,31,175,168
32,product-32,4,41,92,183,51,147,73
33,product-33,135,156,49,157,4,213,210
34,product-34,172,176,210,189,210,210,107
35,product-35,83,160,84,154,192,183,210
36,product-36,44,97,118,36,46,224,176
37,product-37,84,127,159,58,142,17,96
38,product-38,86,181,197,81,139,173,159
39,product-39,113,172,29,145,158,220,210
40,product-40,75,127,180,108,87,180,128
41,product-41,183,273,176,55,46,73,117
42,product-42,113,156,78,48,79,206,179
43,product-43,53,136,217,51,188,213,42
44,product-44,134,134,153,94,51,139,226
45,product-45,139,160,140,148,131,167,159
46,product-46,152,207,49,70,89,191,149
47,product-47,172,256,82,115,201,167,84
48,product-48,174,228,216,64,163,198,92
49,product-49,118,161,68,66,130,172,125
50,product-50,74,113,64,234,62,178,139
51,product-51,186,219,88,220,225,55,33
52,product-52,172,228,163,76,164,106,187
53,product-53,211,278,73,137,133,206,19
54,product-54,166,194,176,124,45,180,232
55,product-55,84,162,150,15,227,161,119
56,product-56,84,92,7,168,96,34,155
57,product-57,112,124,198,49,239,61,168
58,product-58,109,176,72,149,225,172,165
59,product-59,62,127,108,213,40,59,90
60,product-60,140,214,163,48,81,47,53
61,product-61,256,257,14,66,102,37,126
62,product-62,98,184,138,173,159,129,46
63,product-63,75,105,214,181,197,14,183
64,product-64,189,207,57,49,84,120,31
65,product-65,181,250,172,142,122,218,34
66,product-66,24,41,157,201,153,129,148
67,product-67,142,193,180,119,49,120,71
68,product-68,66,94,104,98,135,67,249
69,product-69,182,238,199,66,168,158,246
70,product-70,84,171,191,96,202,69,148
71,product-71,161,234,31,60,179,227,79
72,product-72,179,204,243,83,109,208,91
73,product-73,137,173,154,199,108,81,134
74,product-74,207,268,133,126,195,106,121
75,product-75,105,110,176,157,73,95,191
76,product-76,79,118,162,143,85,70,38
77,product-77,229,286,67,183,170,238,78
78,product-78,164,236,212,193,46,150,224
79,product-79,106,175,36,38,112,100,190
80,product-80,25,88,189,207,171,145,89
81,product-81,123,202,105,171,161,224,138
82,product-82,172,184,67,136,64,41,202
83,product-83,106,153,5,34,122,42,73
84,product-84,120,165,142,38,163,52,78
85,product-85,209,276,83,89,108,170,83
86,product-86,173,219,127,26,52,161,159
87,product-87,100,164,49,203,77,52,20
88,product-88,188,279,89,192,3,205,125
89,product-89,71,111,261,192,110,160,16
90,product-90,240,302,200,181,38,137,59
91,product-91,153,196,203,103,118,74,129
