id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3,dim_4
1,customer-1,178,278,22,15,200,175,169
2,customer-2,52,67,153,142,182,36,21
3,customer-3,124,161,173,68,160,137,74
4,customer-4,186,264,171,112,96,130,216
5,customer-5,171,228,163,139,45,157,195
6,customer-6,89,165,46,105,151,200,25
7,customer-7,98,133,180,216,76,94,87
8,customer-8,214,255,155,45,168,83,198
9,customer-9,72,111,168,96,5,126,159
10,customer-10,94,111,50,60,30,132,55
11,customer-11,119,161,184,99,159,181,18
12,customer-12,128,152,182,181,79,101,215
13,customer-13,107,154,189,202,45,167,58
14,customer-14,159,160,131,196,118,71,53
15,customer-15,191,276,126,79,154,50,229
16,customer-16,51,73,205,137,162,77,137
17,customer-17,226,248,127,162,23,86,117
18,customer-18,67,103,209,165,186,172,41
19,customer-19,90,167,65,179,110,92,84
20,customer-20,136,230,75,87,121,68,198
21,customer-21,202,211,138,115,260,26,100
22,customer-22,78,88,127,33,126,142,81
23,customer-23,163,230,145,153,175,78,242
24,customer-24,54,135,78,64,195,58,199
25,customer-25,14,24,82,145,215,57,116
26,customer-26,205,284,129,33,51,150,169
27,customer-27,93,163,141,210,161,183,254
28,customer-28,107,154,262,142,196,113,59
29,customer-29,42,83,205,171,213,35,141
30,customer-30,70,153,140,71,176,50,201
31,customer-31,107,157,150,208,175,136,107
32,customer-32,72,156,172,158,25,46,31
33,customer-33,198,252,47,190,186,108,232
34,customer-34,167,257,94,35,33,35,104
35,customer-35,183,206,28,19,107,38,128
36,customer-36,168,244,203,151,69,173,168
37,customer-37,51,68,106,43,200,160,66
38,customer-38,112,195,136,42,149,101,215
39,customer-39,128,203,16,143,139,81,33
40,customer-40,35,82,32,148,152,229,26
41,customer-41,204,208,212,119,75,187,167
42,customer-42,6,83,162,186,161,188,137
43,customer-43,126,212,43,198,120,86,200
44,customer-44,86,148,168,176,156,68,108
45,customer-45,152,158,208,57,31,240,83
46,customer-46,210,273,55,171,81,22,149
47,customer-47,184,212,149,84,189,74,115
48,customer-48,196,250,120,265,194,147,177
49,customer-49,151,152,231,132,34,175,66
50,customer-50,180,218,78,95,72,57,85
51,customer-51,196,218,22,68,30,186,191
52,customer-52,142,198,108,64,69,70,173
53,customer-53,198,294,113,238,80,4,114
54,customer-54,30,91,36,146,73,95,257
55,customer-55,50,59,58,238,65,36,191
56,customer-56,89,171,84,105,197,33,137
57,customer-57,74,138,132,174,176,194,167
58,customer-58,145,166,69,86,138,155,175
59,customer-59,187,208,72,165,189,162,221
60,customer-60,173,174,19,203,124,177,53
61,customer-61,33,94,66,265,11,115,85
62,customer-62,243,321,177,79,179,99,133
63,customer-63,93,173,73,108,135,140,64
64,customer-64,80,136,205,31,233,176,141
65,customer-65,171,178,137,185,77,184,70
66,customer-66,218,247,113,30,205,86,160
