id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,product-1,119,140,200,146,129,180
2,product-2,144,195,125,191,24,177
3,product-3,63,96,206,73,139,152
4,product-4,193,197,206,78,107,114
5,product-5,99,183,143,192,75,33
6,product-6,3,38,53,42,187,12
7,product-7,68,116,223,118,194,150
8,product-8,103,161,174,147,212,177
9,product-9,48,67,71,7,169,119
10,product-10,135,155,191,176,196,146
11,product-11,79,140,52,190,149,51
12,product-12,88,176,159,147,58,234
13,product-13,111,114,249,107,246,65
14,product-14,136,176,107,201,45,118
15,product-15,90,172,4,177,91,238
16,product-16,132,177,108,172,55,56
17,product-17,191,276,67,182,25,5
18,product-18,175,231,135,73,193,39
19,product-19,89,164,169,49,20,202
20,product-20,106,158,207,33,196,205
21,product-21,74,77,84,86,129,63
22,product-22,61,94,62,48,100,18
23,product-23,109,172,211,66,119,136
24,product-24,101,178,208,120,47,86
25,product-25,183,273,230,93,163,139
26,product-26,137,146,174,225,227,4
27,product-27,163,181,203,17,20,92
28,product-28,78,132,174,134,63,243
29,product-29,172,205,96,75,208,123
30,product-30,236,250,70,236,222,131
31,product-31,183,257,154,146,153,168
32,product-32,217,270,102,206,60,83
33,product-33,26,37,103,174,138,45
34,product-34,123,133,130,136,110,212
35,product-35,217,218,205,117,85,41
36,product-36,138,177,145,136,68,63
37,product-37,109,143,114,44,267,137
38,product-38,148,171,224,146,23,148
39,product-39,158,205,56,91,216,73
40,product-40,92,126,23,54,199,63
41,product-41,63,108,140,115,82,86
42,product-42,120,216,39,49,136,116
43,product-43,199,283,103,26,65,156
44,product-44,23,70,131,61,185,69
45,product-45,82,157,208,90,123,191
46,product-46,113,170,192,56,120,83
47,product-47,127,184,52,153,18,181
48,product-48,18,42,177,103,232,127
49,product-49,84,103,170,118,111,49
50,product-50,190,227,10,15,208,52
51,product-51,120,155,73,169,181,187
52,product-52,104,114,144,250,195,173
53,product-53,125,138,34,237,49,204
54,product-54,84,97,44,154,82,178
55,product-55,101,153,176,110,238,157
56,product-56,75,134,83,39,63,190
