id,label,ts_in,ts_out,dim_0,dim_1,dim_2,dim_3
1,customer-1,207,281,114,202,205,143
2,customer-2,98,186,77,86,143,167
3,customer-3,190,277,50,176,120,52
4,customer-4,136,142,99,232,227,19
5,customer-5,220,303,208,151,102,76
6,customer-6,81,87,201,54,236,33
7,customer-7,153,234,160,210,37,50
8,customer-8,231,281,170,152,130,205
9,customer-9,70,105,208,100,181,169
10,customer-10,38,101,167,195,224,241
11,customer-11,99,112,172,223,200,125
12,customer-12,98,99,158,40,115,76
13,customer-13,195,290,217,52,49,165
14,customer-14,106,194,237,193,224,79
15,customer-15,96,138,113,146,17,68
16,customer-16,58,106,114,211,24,196
17,customer-17,25,105,40,22,173,166
18,customer-18,31,86,135,95,190,139
19,customer-19,198,250,83,135,176,94
20,customer-20,113,123,39,122,44,52
21,customer-21,29,88,72,191,177,16
22,customer-22,232,289,25,183,200,103
23,customer-23,111,148,191,107,92,170
24,customer-24,40,127,168,219,257,86
25,customer-25,171,232,197,191,76,199
26,customer-26,115,168,205,112,126,184
27,customer-27,128,146,193,50,111,54
28,customer-28,46,48,116,159,176,214
29,customer-29,46,93,249,58,128,185
30,customer-30,172,184,172,198,154,27
31,customer-31,109,130,195,129,72,31
32,customer-32,52,61,83,10,189,180
33,customer-33,207,253,150,60,280,109
34,customer-34,56,56,167,228,103,13
35,customer-35,23,94,185,171,134,126
36,customer-36,45,54,97,84,191,121
37,customer-37,52,77,83,14,157,107
38,customer-38,31,55,86,62,104,162
39,customer-39,27,93,198,193,67,81
40,customer-40,61,120,53,181,107,172
41,customer-41,54,135,216,96,125,134
42,customer-42,10,89,31,27,153,146
43,customer-43,172,245,179,11,160,148
44,customer-44,18,95,131,100,119,184
45,customer-45,160,215,159,129,236,115
46,customer-46,144,184,80,205,227,120
47,customer-47,176,236,97,194,91,39
48,customer-48,205,289,86,46,84,131
49,customer-49,30,78,133,72,113,213
50,customer-50,27,82,113,60,48,87
51,customer-51,57,102,161,86,207,199
52,customer-52,173,173,9,180,125,13
53,customer-53,214,268,123,71,193,79
54,customer-54,78,81,107,130,52,161
55,customer-55,130,217,135,72,63,218
56,customer-56,138,206,30,110,77,131
57,customer-57,17,71,198,229,125,38
58,customer-58,36,99,130,26,222,127
59,customer-59,241,314,160,214,172,71
60,customer-60,128,158,45,126,148,85
61,customer-61,50,119,51,52,226,77
62,customer-62,72,144,127,171,228,7
63,customer-63,118,216,122,123,60,234
64,customer-64,36,89,198,159,117,133
65,customer-65,21,96,138,200,92,53
66,customer-66,141,150,189,100,177,76
67,customer-67,119,146,159,86,81,115
68,customer-68,221,263,140,99,100,73
69,customer-69,113,173,128,208,264,177
70,customer-70,168,261,37,157,85,78
71,customer-71,15,109,46,133,5,154
72,customer-72,131,170,47,60,166,46
73,customer-73,197,266,101,57,113,100
74,customer-74,70,165,51,124,222,69
75,customer-75,80,154,103,87,205,89
76,customer-76,160,247,79,113,29,205
77,customer-77,176,212,6,161,197,204
78,customer-78,77,113,179,129,131,54
79,customer-79,176,254,130,39,24,32
80,customer-80,157,173,215,202,203,101
81,customer-81,172,201,21,152,24,56
82,customer-82,166,250,189,159,217,98
83,customer-83,97,119,161,113,230,117
84,customer-84,68,80,166,89,104,22
85,customer-85,166,204,39,92,207,217
86,customer-86,158,228,56,61,6,229
87,customer-87,25,109,109,201,35,143
88,customer-88,183,252,98,188,128,12
89,customer-89,101,165,78,118,67,126
90,customer-90,170,170,75,108,60,184
91,customer-91,81,118,183,87,111,63
92,customer-92,116,168,182,67,145,83
93,customer-93,140,150,142,169,169,116
94,customer-94,177,253,122,185,73,130
95,customer-95,181,239,113,80,192,96
96,customer-96,194,290,54,127,31,211
97,customer-97,259,322,192,74,173,58
98,customer-98,199,206,89,2,105,146
99,customer-99,123,148,234,85,239,114
100,customer-100,127,189,59,30,163,66
101,customer-101,152,152,20,10,230,90
102,customer-102,196,252,111,82,218,17
103,customer-103,132,223,157,191,126,79
104,customer-104,166,230,9,120,63,124
105,customer-105,35,122,126,155,86,76
106,customer-106,176,227,37,200,114,122
107,customer-107,102,134,124,51,43,248
108,customer-108,43,48,125,203,35,178
109,customer-109,159,254,192,228,54,136
110,customer-110,93,112,43,39,220,107
111,customer-111,164,168,171,18,155,45
112,customer-112,122,211,146,176,168,43
113,customer-113,195,218,46,121,81,45
114,customer-114,137,166,235,95,143,72
115,customer-115,24,85,53,124,54,72
116,customer-116,99,188,168,236,16,136
117,customer-117,28,55,129,65,45,78
118,customer-118,116,197,189,57,190,48
119,customer-119,241,274,70,76,166,58
120,customer-120,97,148,150,206,42,181
